mean_train_score,std_train_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,reg__estimator__alpha
-1.8919667863552896,0.020612582909868143,-1.9061138483915272,0.08003408614306944,0.011369466781616211,0.0007978082179666932,1e-05
-1.8919666051778095,0.020612537052337773,-1.9061134682947938,0.0800317566417923,0.01316537857055664,0.0033611216098258815,1.9999999999999998e-05
-1.891966442106558,0.02061250614834448,-1.9061130953315604,0.08002942500318903,0.010372352600097657,0.002054289778353784,2.9999999999999997e-05
-1.89196627852554,0.02061248287738033,-1.9061127101370723,0.08002708872153314,0.009574508666992188,0.0004883052915003981,3.9999999999999996e-05
-1.891966119095382,0.02061243676600636,-1.9061123326096847,0.08002467642669245,0.010173606872558593,0.0007465951384165825,4.9999999999999996e-05
-1.8919659806696807,0.02061242052857462,-1.9061119651457552,0.08002218819132247,0.009774160385131837,0.0003988505371787298,5.9999999999999995e-05
-1.8919658092671903,0.020612402614138478,-1.9061115988317134,0.08001986497974559,0.009374332427978516,0.0007977726836358099,7e-05
-1.8919644160701043,0.020610078718062454,-1.9061089513732168,0.08001329772958292,0.008776998519897461,0.0007457413111646461,7.999999999999999e-05
-1.8919643105810628,0.020609824531468736,-1.9061080731391429,0.0800105929274735,0.007978343963623047,0.0006306002692144999,8.999999999999999e-05
-1.8919641594425123,0.020609695964013436,-1.9061072934703698,0.08000805363488635,0.006781339645385742,0.0007466081516174193,9.999999999999999e-05
-1.89196391046503,0.020609642940342766,-1.906108898593302,0.08000637918920073,0.007978868484497071,0.0006302988316267572,0.00010999999999999999
-1.89196381923738,0.020609591090979675,-1.9061081667070972,0.0800039996225644,0.007978200912475586,0.0006304497217140726,0.00011999999999999999
-1.8919635205385679,0.020609585352546568,-1.90610670400551,0.0800022080096196,0.00837712287902832,0.0004893568232853858,0.00013
-1.8919637172168806,0.020609688419850846,-1.9061036731848102,0.08000083766169282,0.008776712417602538,0.00039889824938326134,0.00014
-1.8919632951410328,0.020609706548121078,-1.9061036357177983,0.08000136277985913,0.00718073844909668,0.0011631048226073207,0.00015
-1.891963371889587,0.020609981893031624,-1.9061026724606234,0.07999950737898476,0.00718083381652832,0.0003990414144459779,0.00015999999999999999
-1.891962775189804,0.020610082791895724,-1.9061058919927565,0.0799989318834026,0.0069809436798095705,7.893059424041199e-07,0.00016999999999999999
-1.891962581575146,0.020610023764820087,-1.9061046743609904,0.0799967365489057,0.006183481216430664,0.000977311236135384,0.00017999999999999998
-1.8919626728154693,0.02060998495810098,-1.9061045851771703,0.07999431026673022,0.006981611251831055,0.0006299974807925944,0.00018999999999999998
-1.891962558507668,0.020609923701100027,-1.9061041222961776,0.07999194569845529,0.005186271667480469,0.0003987799559728668,0.00019999999999999998
-1.891962488546352,0.02060985253074003,-1.9061035717102162,0.07998952019766528,0.006781578063964844,0.0011628676180262297,0.00020999999999999998
-1.8919623918849109,0.02060981020817488,-1.906103658403914,0.07998713314603406,0.006981468200683594,0.0008921766917112968,0.00021999999999999998
-1.8919622300657024,0.020609761090146422,-1.9061032954381805,0.07998479834253062,0.005784273147583008,0.0014653955478282558,0.00022999999999999998
-1.8919620706719755,0.02060971187761115,-1.906102934918796,0.07998246315318745,0.005585289001464844,0.0013525711935540921,0.00023999999999999998
-1.8919619137040269,0.02060966257049877,-1.9061025768459043,0.07998012757808859,0.005784845352172852,0.0014660573550805054,0.00025
-1.8919618006472352,0.020609600560824913,-1.9061020521717935,0.07997773355469129,0.0061835765838623045,0.0014660184249364334,0.00026000000000000003
-1.8919616940429465,0.02060963036912949,-1.9061017970253498,0.07997522734654101,0.007180929183959961,0.00039887435409171316,0.00027
-1.891961567890182,0.020609582876017985,-1.9061016204534027,0.07997287116414258,0.007579517364501953,0.0004881884209115475,0.00028
-1.891961420429476,0.020609532933294185,-1.9061012717780124,0.07997053488821766,0.007380390167236328,0.0007979155067661314,0.00029
-1.8919613270001108,0.020609412980824766,-1.9061009708281496,0.07996825956866757,0.006582403182983398,0.001016615933369576,0.00030000000000000003
-1.8919611843585027,0.020609362895662234,-1.90610062707128,0.07996592255596949,0.006782245635986328,0.001162900313830043,0.00031
-1.891961072508482,0.020609307586259583,-1.9061003111740966,0.07996358904701284,0.005983400344848633,0.0012614267108704287,0.00031999999999999997
-1.891960934686594,0.020609257317286134,-1.9060999722419951,0.07996125125524511,0.0065825462341308595,0.001738636381592251,0.00033
-1.8919607992929166,0.020609206952986674,-1.9060996357572613,0.07995891307898055,0.00638270378112793,0.0016206458676717302,0.00034
-1.8919606663111872,0.020609156496284465,-1.906099301665852,0.07995657451003678,0.007579708099365234,0.0007981778544275383,0.00035
-1.8919605862088325,0.02060919376316596,-1.906099087537021,0.07995403164712903,0.006183242797851563,0.0014658043240128535,0.00035999999999999997
-1.8919605063282223,0.020609128540746657,-1.9060985604491119,0.07995162437998449,0.006782102584838867,0.0007460470715446839,0.00037
-1.8919603807194445,0.02060907803162531,-1.9060982340315917,0.07994928429064038,0.006582498550415039,0.0007976294329946377,0.00038
-1.891960257540046,0.020609027426478233,-1.9060979100617708,0.07994694381771417,0.007380294799804688,0.0007981419719086517,0.00039
-1.891960136790333,0.020608976725233145,-1.906097588539776,0.07994460296133342,0.006981468200683594,0.0010923623557352704,0.00039999999999999996
-1.8919601018318097,0.020608851064052146,-1.9060975033765353,0.07994228674031123,0.007380151748657226,0.0004881105226945512,0.00041
-1.8919599858939826,0.02060880020391741,-1.9060971866760195,0.07993994518753163,0.006183338165283203,0.0011625486908918626,0.00042
