g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.100,1,0.6,0.1,10.00,0.712,0.008,0.867,0.039,2.56,0.92
0.010,0.100,1,0.6,0.1,10.00,0.713,0.009,0.869,0.041,3.63,0.92
0.100,0.100,1,0.4,0.1,10.00,0.686,0.008,0.869,0.039,2.73,0.92
0.100,0.100,1,0.2,0.1,10.00,0.667,0.007,0.870,0.038,2.76,0.92
0.010,0.100,1,0.2,0.1,10.00,0.671,0.007,0.870,0.040,4.13,0.92
0.010,0.100,1,0.4,0.1,10.00,0.689,0.008,0.870,0.041,3.92,0.92
0.100,0.100,1,0.8,0.1,10.00,0.753,0.009,0.871,0.038,2.81,0.93
0.010,0.100,1,0.8,0.1,10.00,0.753,0.009,0.871,0.037,4.02,0.92
0.010,0.100,2,0.2,0.1,10.00,0.672,0.008,0.872,0.039,4.15,0.92
0.010,0.100,3,0.2,0.1,10.00,0.672,0.007,0.872,0.039,3.94,0.92
0.010,0.100,1,0.8,0.1,100.00,0.602,0.010,0.873,0.035,5.02,0.92
0.010,0.100,2,0.4,0.1,10.00,0.693,0.008,0.873,0.041,4.20,0.92
0.100,0.100,1,0.8,0.1,100.00,0.601,0.010,0.873,0.036,11.03,0.92
0.010,0.100,2,0.8,0.1,100.00,0.602,0.010,0.873,0.033,4.55,0.92
0.010,0.100,3,0.4,0.1,10.00,0.693,0.008,0.873,0.041,3.59,0.92
0.100,0.100,2,0.2,0.1,10.00,0.666,0.008,0.875,0.039,2.85,0.93
0.100,0.100,1,0.2,0.1,1.00,0.803,0.008,0.876,0.036,2.18,0.92
0.010,0.100,3,0.8,0.1,100.00,0.603,0.010,0.877,0.035,4.97,0.92
0.100,0.100,2,0.8,0.1,100.00,0.597,0.010,0.877,0.030,12.26,0.92
0.010,0.100,2,0.6,0.1,10.00,0.722,0.009,0.879,0.041,3.90,0.92
0.010,0.100,3,0.6,0.1,10.00,0.722,0.008,0.879,0.041,3.68,0.92
0.100,0.100,1,0.4,0.1,1.00,0.816,0.009,0.879,0.039,2.20,0.91
0.010,0.100,1,0.6,0.1,100.00,0.547,0.012,0.880,0.040,6.11,0.91
0.100,0.100,3,0.2,0.1,10.00,0.656,0.008,0.881,0.041,3.94,0.92
0.100,0.100,2,0.4,0.1,10.00,0.684,0.009,0.881,0.042,2.70,0.92
0.010,0.100,2,0.6,0.1,100.00,0.548,0.012,0.881,0.037,5.76,0.91
0.100,0.100,2,0.6,0.1,100.00,0.542,0.011,0.881,0.035,12.70,0.91
0.100,0.100,1,0.6,0.1,100.00,0.547,0.012,0.881,0.041,12.41,0.92
0.010,0.100,3,0.6,0.1,100.00,0.549,0.012,0.883,0.038,6.72,0.92
0.100,0.100,3,0.4,0.1,10.00,0.665,0.008,0.884,0.041,3.95,0.92
0.100,0.100,3,0.6,0.1,10.00,0.680,0.008,0.885,0.041,4.47,0.93
0.010,0.100,3,0.8,0.1,10.00,0.769,0.009,0.887,0.039,3.48,0.92
0.100,0.100,3,0.8,0.1,10.00,0.704,0.008,0.888,0.041,4.71,0.92
0.100,0.100,2,0.6,0.1,10.00,0.710,0.008,0.888,0.044,2.98,0.92
0.010,0.100,2,0.8,0.1,10.00,0.768,0.009,0.889,0.041,3.49,0.92
0.100,0.100,1,0.4,0.1,100.00,0.513,0.011,0.890,0.042,13.57,0.93
0.010,0.100,1,0.4,0.1,100.00,0.514,0.012,0.891,0.040,8.44,0.92
0.100,0.100,2,0.4,0.1,100.00,0.510,0.011,0.891,0.037,13.11,0.92
0.010,0.100,2,0.4,0.1,100.00,0.514,0.012,0.891,0.039,7.27,0.92
0.010,0.100,3,0.4,0.1,100.00,0.515,0.012,0.892,0.039,9.05,0.92
0.100,0.100,3,0.2,0.1,1.00,0.802,0.010,0.893,0.039,3.95,0.93
0.100,0.100,1,0.6,0.1,1.00,0.842,0.009,0.896,0.043,2.18,0.91
0.010,0.100,1,0.2,0.1,100.00,0.491,0.012,0.897,0.042,9.69,0.93
0.010,0.100,2,0.2,0.1,100.00,0.491,0.012,0.898,0.042,9.44,0.92
0.010,0.100,3,0.2,0.1,100.00,0.491,0.012,0.898,0.042,12.29,0.92
0.100,0.100,1,0.2,0.1,100.00,0.490,0.012,0.898,0.042,14.40,0.93
0.100,0.100,2,0.2,0.1,100.00,0.488,0.012,0.898,0.041,15.83,0.93
0.010,0.100,1,0.4,0.1,1.00,0.832,0.009,0.899,0.037,2.16,0.92
0.010,0.100,1,0.2,0.1,1.00,0.823,0.009,0.900,0.039,2.25,0.92
0.100,0.100,2,0.8,0.1,10.00,0.752,0.009,0.901,0.043,2.89,0.93
0.010,0.100,1,0.6,0.1,1.00,0.849,0.009,0.901,0.037,2.16,0.92
0.100,0.100,3,0.4,0.1,1.00,0.809,0.010,0.903,0.047,4.34,0.92
0.100,0.100,2,0.2,0.1,1.00,0.820,0.011,0.905,0.046,2.43,0.92
0.100,0.100,3,0.2,0.1,100.00,0.480,0.012,0.907,0.050,13.48,0.92
0.100,0.010,3,0.2,0.1,10.00,0.807,0.012,0.908,0.054,3.32,0.93
0.010,0.100,3,0.2,0.1,1.00,0.831,0.009,0.910,0.043,3.41,0.92
0.010,0.100,2,0.2,0.1,1.00,0.831,0.009,0.910,0.043,2.11,0.92
0.100,0.100,3,0.4,0.1,100.00,0.496,0.012,0.910,0.053,14.84,0.92
0.010,0.010,3,0.6,0.1,100.00,0.845,0.013,0.910,0.054,4.61,0.92
0.100,0.010,1,0.2,0.1,100.00,0.834,0.011,0.910,0.047,4.95,0.93
0.010,0.010,3,0.8,0.1,100.00,0.855,0.013,0.910,0.055,4.45,0.92
0.100,0.100,2,0.4,0.1,1.00,0.831,0.012,0.911,0.050,2.22,0.93
0.010,0.010,3,0.2,0.1,100.00,0.836,0.012,0.911,0.051,4.89,0.93
0.010,0.010,3,0.4,0.1,100.00,0.840,0.012,0.911,0.052,4.94,0.93
0.010,0.010,1,0.2,0.1,100.00,0.840,0.012,0.913,0.050,3.06,0.93
0.100,0.010,1,0.4,0.1,100.00,0.843,0.011,0.914,0.049,5.50,0.93
0.100,0.010,3,0.2,0.1,100.00,0.714,0.007,0.914,0.037,11.94,0.92
0.010,0.010,2,0.2,0.1,100.00,0.842,0.012,0.916,0.051,2.87,0.93
0.010,0.010,1,0.4,0.1,100.00,0.848,0.012,0.917,0.053,2.88,0.93
0.100,0.100,3,0.6,0.1,100.00,0.520,0.012,0.917,0.053,15.09,0.91
0.100,0.010,1,0.6,0.1,100.00,0.860,0.012,0.919,0.053,6.72,0.93
0.010,0.100,3,0.4,0.1,1.00,0.851,0.010,0.920,0.042,3.61,0.92
0.010,0.100,2,0.4,0.1,1.00,0.850,0.010,0.920,0.042,2.31,0.92
0.010,0.010,1,0.6,0.1,100.00,0.864,0.012,0.921,0.055,2.82,0.93
0.100,0.100,3,0.8,0.1,100.00,0.560,0.013,0.922,0.052,16.16,0.92
0.010,0.010,2,0.4,0.1,100.00,0.852,0.012,0.923,0.054,2.71,0.93
0.100,0.100,2,0.6,0.1,1.00,0.850,0.012,0.923,0.057,2.57,0.93
0.100,0.100,3,0.6,0.1,1.00,0.830,0.010,0.925,0.057,4.35,0.92
0.100,0.010,3,0.4,0.1,100.00,0.702,0.006,0.925,0.034,18.30,0.93
0.100,0.010,3,0.4,0.1,10.00,0.805,0.011,0.927,0.054,3.64,0.92
0.010,0.010,2,0.6,0.1,100.00,0.866,0.013,0.932,0.059,2.55,0.93
0.100,0.010,3,0.6,0.1,100.00,0.700,0.006,0.934,0.032,27.42,0.93
0.010,0.100,1,0.8,0.1,1.00,0.898,0.009,0.934,0.045,2.12,0.93
0.100,0.010,3,0.8,0.1,100.00,0.705,0.006,0.940,0.027,31.30,0.92
0.100,0.010,2,0.2,0.1,100.00,0.830,0.011,0.941,0.056,7.58,0.92
0.100,0.010,1,0.8,0.1,100.00,0.897,0.012,0.944,0.061,8.91,0.92
0.010,0.010,1,0.8,0.1,100.00,0.898,0.012,0.944,0.061,2.81,0.92
0.010,0.100,2,0.6,0.1,1.00,0.886,0.012,0.945,0.040,2.29,0.92
0.010,0.100,3,0.6,0.1,1.00,0.888,0.012,0.946,0.039,3.37,0.92
0.100,0.010,2,0.4,0.1,100.00,0.839,0.011,0.948,0.059,12.40,0.93
0.010,0.010,2,0.8,0.1,100.00,0.889,0.013,0.948,0.062,2.25,0.93
0.100,0.100,1,0.8,0.1,1.00,0.914,0.010,0.953,0.056,2.26,0.93
0.100,0.100,2,0.8,0.1,1.00,0.890,0.015,0.953,0.068,2.66,0.92
0.100,0.010,2,0.6,0.1,100.00,0.851,0.011,0.963,0.060,14.28,0.93
0.100,0.010,3,0.6,0.1,10.00,0.826,0.010,0.964,0.056,4.08,0.93
0.100,0.010,2,0.2,0.1,10.00,0.902,0.015,0.968,0.064,2.72,0.93
0.100,0.010,2,0.4,0.1,10.00,0.899,0.015,0.974,0.065,2.89,0.93
0.010,0.010,3,0.2,0.1,10.00,0.948,0.014,0.980,0.065,4.58,0.93
0.100,0.010,2,0.8,0.1,100.00,0.869,0.013,0.981,0.062,21.79,0.93
0.010,0.010,2,0.2,0.1,10.00,0.948,0.015,0.981,0.065,2.57,0.93
0.100,0.010,2,0.6,0.1,10.00,0.902,0.015,0.985,0.069,2.95,0.93
0.010,0.010,1,0.2,0.1,10.00,0.954,0.014,0.986,0.067,2.69,0.93
0.010,0.010,2,0.4,0.1,10.00,0.956,0.015,0.987,0.065,2.88,0.93
0.010,0.010,3,0.4,0.1,10.00,0.958,0.014,0.988,0.066,5.04,0.93
0.100,0.010,1,0.2,0.1,10.00,0.961,0.014,0.995,0.069,2.88,0.93
0.010,0.010,2,0.6,0.1,10.00,0.966,0.015,0.995,0.065,2.92,0.93
0.100,0.010,2,0.8,0.1,10.00,0.910,0.015,0.998,0.070,3.18,0.93
0.100,0.100,3,0.8,0.1,1.00,0.910,0.013,1.001,0.073,3.95,0.92
0.010,0.010,1,0.4,0.1,10.00,0.974,0.015,1.004,0.068,2.61,0.93
0.010,0.010,3,0.6,0.1,10.00,0.982,0.016,1.007,0.064,4.59,0.93
0.010,0.010,2,0.8,0.1,10.00,0.980,0.016,1.008,0.065,3.21,0.93
0.100,0.010,2,0.2,0.1,1.00,0.981,0.017,1.012,0.074,2.12,0.92
0.100,0.010,1,0.4,0.1,10.00,0.985,0.015,1.016,0.071,2.74,0.93
0.010,0.100,2,0.8,0.1,1.00,0.976,0.011,1.019,0.046,2.43,0.92
0.100,0.010,2,0.4,0.1,1.00,0.979,0.017,1.020,0.079,2.17,0.93
0.010,0.100,3,0.8,0.1,1.00,0.985,0.009,1.027,0.046,3.36,0.92
0.010,0.010,1,0.6,0.1,10.00,1.010,0.017,1.038,0.070,2.59,0.92
0.100,0.010,2,0.6,0.1,1.00,1.002,0.018,1.050,0.084,2.27,0.94
0.100,0.010,1,0.6,0.1,10.00,1.023,0.016,1.052,0.075,2.80,0.93
0.100,0.010,3,0.8,0.1,10.00,0.906,0.009,1.068,0.067,4.48,0.94
0.010,0.010,3,0.8,0.1,10.00,1.047,0.016,1.072,0.063,4.96,0.94
0.010,0.010,1,0.8,0.1,10.00,1.086,0.019,1.112,0.073,2.45,0.94
0.100,0.010,1,0.8,0.1,10.00,1.098,0.019,1.126,0.076,2.87,0.94
0.100,0.100,1,0.2,0.1,0.10,1.123,0.012,1.149,0.060,2.45,0.94
0.100,0.100,1,0.4,0.1,0.10,1.142,0.012,1.167,0.063,2.39,0.94
0.100,0.010,2,0.8,0.1,1.00,1.123,0.021,1.174,0.091,2.34,0.94
0.010,0.010,2,0.2,0.1,1.00,1.181,0.013,1.200,0.065,2.36,0.95
0.100,0.010,3,0.2,0.1,1.00,1.144,0.019,1.203,0.096,3.27,0.94
0.100,0.010,1,0.2,0.1,1.00,1.190,0.018,1.209,0.068,2.26,0.93
0.100,0.100,3,0.2,0.1,0.10,1.177,0.012,1.211,0.074,3.48,0.92
0.010,0.010,1,0.2,0.1,1.00,1.196,0.014,1.214,0.066,2.35,0.94
0.010,0.010,3,0.2,0.1,1.00,1.200,0.014,1.217,0.066,3.45,0.94
0.100,0.100,1,0.6,0.1,0.10,1.205,0.014,1.227,0.065,2.41,0.94
0.010,0.010,2,0.4,0.1,1.00,1.213,0.014,1.231,0.067,2.47,0.95
0.100,0.010,1,0.4,0.1,1.00,1.225,0.020,1.244,0.070,2.41,0.94
0.100,0.100,2,0.2,0.1,0.10,1.220,0.022,1.257,0.085,2.42,0.94
0.100,0.010,3,0.4,0.1,1.00,1.186,0.021,1.258,0.108,3.44,0.93
0.010,0.010,1,0.4,0.1,1.00,1.242,0.016,1.260,0.067,2.56,0.94
0.010,0.010,3,0.4,0.1,1.00,1.257,0.015,1.274,0.068,3.41,0.95
0.100,0.010,1,0.6,0.1,1.00,1.264,0.020,1.284,0.072,2.41,0.95
0.010,0.010,2,0.6,0.1,1.00,1.268,0.012,1.287,0.073,2.47,0.95
0.010,0.010,1,0.6,0.1,1.00,1.298,0.017,1.315,0.068,2.38,0.96
0.100,0.100,3,0.4,0.1,0.10,1.282,0.018,1.321,0.094,3.77,0.93
0.100,0.100,1,0.8,0.1,0.10,1.308,0.016,1.327,0.072,2.63,0.96
0.100,0.010,1,0.8,0.1,1.00,1.311,0.019,1.331,0.074,2.32,0.95
0.010,0.100,1,0.2,0.1,0.10,1.301,0.023,1.336,0.097,2.17,0.93
0.100,0.010,3,0.6,0.1,1.00,1.259,0.021,1.339,0.125,3.67,0.95
0.100,0.100,2,0.4,0.1,0.10,1.311,0.026,1.347,0.098,2.30,0.93
0.010,0.100,2,0.2,0.1,0.10,1.342,0.023,1.378,0.104,2.35,0.93
0.010,0.100,3,0.2,0.1,0.10,1.343,0.023,1.379,0.104,3.40,0.93
0.010,0.010,3,0.6,0.1,1.00,1.359,0.019,1.382,0.077,3.26,0.96
0.010,0.010,1,0.8,0.1,1.00,1.369,0.016,1.387,0.072,2.44,0.96
0.100,0.100,3,0.6,0.1,0.10,1.424,0.025,1.466,0.115,3.57,0.94
0.010,0.010,2,0.8,0.1,1.00,1.444,0.021,1.467,0.118,2.37,0.95
0.010,0.100,1,0.4,0.1,0.10,1.438,0.018,1.469,0.117,2.15,0.94
0.100,0.010,3,0.8,0.1,1.00,1.400,0.028,1.494,0.146,3.81,0.95
0.100,0.010,1,0.8,0.1,0.10,1.471,0.019,1.496,0.079,2.30,0.96
0.100,0.010,1,0.6,0.1,0.10,1.497,0.022,1.524,0.090,2.12,0.95
0.100,0.010,1,0.4,0.1,0.10,1.546,0.024,1.577,0.108,2.06,0.95
0.010,0.100,2,0.4,0.1,0.10,1.563,0.011,1.591,0.127,2.24,0.94
0.010,0.100,3,0.4,0.1,0.10,1.566,0.011,1.594,0.127,3.32,0.94
0.010,0.010,3,0.8,0.1,1.00,1.606,0.017,1.626,0.120,3.28,0.96
0.100,0.100,2,0.6,0.1,0.10,1.605,0.022,1.639,0.132,2.33,0.95
0.010,0.100,1,0.6,0.1,0.10,1.633,0.014,1.655,0.129,2.13,0.94
0.100,0.010,1,0.2,0.1,0.10,1.660,0.020,1.678,0.119,2.20,0.96
0.100,0.100,3,0.8,0.1,0.10,1.636,0.030,1.682,0.139,3.56,0.94
0.100,0.010,3,0.2,0.1,0.10,1.747,0.031,1.770,0.130,3.63,0.95
0.100,0.010,3,0.4,0.1,0.10,1.773,0.034,1.805,0.142,4.01,0.96
0.100,0.010,3,0.6,0.1,0.10,1.829,0.036,1.867,0.146,3.78,0.96
0.010,0.100,1,0.8,0.1,0.10,1.917,0.021,1.935,0.150,2.14,0.95
0.100,0.010,3,0.8,0.1,0.10,1.900,0.037,1.951,0.152,3.68,0.96
0.100,0.010,2,0.2,0.1,0.10,1.944,0.024,1.961,0.139,2.32,0.95
0.010,0.100,2,0.6,0.1,0.10,1.949,0.018,1.973,0.156,2.46,0.94
0.010,0.100,3,0.6,0.1,0.10,1.953,0.017,1.977,0.156,3.35,0.94
0.010,0.010,1,0.2,0.1,0.10,2.055,0.028,2.065,0.147,2.11,0.96
0.010,0.010,1,0.4,0.1,0.10,2.138,0.024,2.149,0.156,2.15,0.95
0.010,0.010,2,0.2,0.1,0.10,2.192,0.029,2.202,0.156,2.23,0.95
0.010,0.010,3,0.2,0.1,0.10,2.194,0.029,2.204,0.157,3.62,0.95
0.010,0.010,1,0.6,0.1,0.10,2.241,0.026,2.250,0.160,2.13,0.96
0.100,0.010,2,0.4,0.1,0.10,2.247,0.014,2.270,0.157,2.41,0.95
0.010,0.010,1,0.8,0.1,0.10,2.372,0.032,2.381,0.159,2.26,0.96
0.010,0.010,2,0.4,0.1,0.10,2.584,0.035,2.595,0.166,2.16,0.97
0.010,0.010,3,0.4,0.1,0.10,2.588,0.034,2.599,0.166,3.49,0.97
0.100,0.100,2,0.8,0.1,0.10,2.758,0.014,2.799,0.196,2.36,0.97
0.100,0.010,2,0.6,0.1,0.10,3.070,0.022,3.110,0.190,2.29,0.97
0.010,0.100,3,0.8,0.1,0.10,3.188,0.041,3.212,0.199,3.36,0.97
0.010,0.100,2,0.8,0.1,0.10,3.202,0.040,3.227,0.202,2.38,0.97
0.010,0.010,3,0.6,0.1,0.10,3.434,0.033,3.448,0.186,3.25,0.97
0.010,0.010,2,0.6,0.1,0.10,3.445,0.036,3.460,0.184,2.27,0.97
0.100,0.010,2,0.8,0.1,0.10,4.362,0.039,4.446,0.224,2.28,0.98
0.010,0.010,3,0.8,0.1,0.10,4.784,0.045,4.799,0.212,3.40,0.98
0.010,0.010,2,0.8,0.1,0.10,4.806,0.045,4.822,0.214,2.42,0.98
