g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.010,0.100,2,0.2,0.1,100.00,0.394,0.007,0.725,0.026,12.43,0.91
0.100,0.100,2,0.2,0.1,100.00,0.392,0.008,0.726,0.026,15.73,0.90
0.100,0.100,3,0.6,0.1,100.00,0.415,0.007,0.727,0.031,27.75,0.90
0.100,0.100,3,0.4,0.1,100.00,0.397,0.007,0.728,0.029,22.49,0.91
0.100,0.100,3,0.8,0.1,100.00,0.445,0.007,0.728,0.035,31.74,0.90
0.100,0.100,3,0.2,0.1,100.00,0.384,0.007,0.729,0.028,19.34,0.91
0.100,0.100,2,0.6,0.1,1.00,0.669,0.011,0.729,0.040,1.64,0.91
0.100,0.100,3,0.8,0.1,1.00,0.666,0.012,0.742,0.053,2.39,0.91
0.010,0.100,2,0.8,0.1,1.00,0.716,0.010,0.745,0.037,2.00,0.89
0.010,0.100,1,0.8,0.1,1.00,0.712,0.011,0.746,0.050,1.87,0.90
0.010,0.100,3,0.8,0.1,1.00,0.718,0.009,0.748,0.037,2.25,0.89
0.100,0.100,2,0.8,0.1,1.00,0.701,0.010,0.753,0.043,1.60,0.91
0.100,0.100,1,0.8,0.1,1.00,0.720,0.012,0.753,0.057,1.47,0.90
0.100,0.010,3,0.2,0.1,100.00,0.591,0.011,0.755,0.047,12.34,0.91
0.100,0.010,3,0.2,0.1,10.00,0.666,0.012,0.763,0.051,3.93,0.91
0.100,0.010,3,0.4,0.1,100.00,0.583,0.011,0.763,0.051,19.68,0.93
0.100,0.010,1,0.2,0.1,100.00,0.702,0.012,0.768,0.052,5.20,0.92
0.100,0.010,1,0.4,0.1,100.00,0.710,0.012,0.769,0.053,5.88,0.92
0.100,0.010,3,0.4,0.1,10.00,0.657,0.012,0.769,0.052,4.53,0.91
0.100,0.010,3,0.6,0.1,100.00,0.582,0.011,0.770,0.051,28.26,0.92
0.010,0.010,3,0.8,0.1,100.00,0.720,0.012,0.771,0.054,3.47,0.92
0.010,0.010,3,0.4,0.1,100.00,0.708,0.012,0.771,0.052,4.11,0.92
0.010,0.010,3,0.6,0.1,100.00,0.712,0.012,0.771,0.052,3.99,0.92
0.100,0.010,1,0.6,0.1,100.00,0.720,0.013,0.772,0.055,8.62,0.92
0.010,0.010,1,0.2,0.1,100.00,0.707,0.012,0.772,0.052,3.70,0.93
0.010,0.010,3,0.2,0.1,100.00,0.705,0.011,0.772,0.052,4.26,0.92
0.010,0.010,1,0.4,0.1,100.00,0.714,0.013,0.773,0.053,3.38,0.92
0.010,0.010,1,0.6,0.1,100.00,0.723,0.013,0.775,0.055,3.57,0.92
0.010,0.010,2,0.2,0.1,100.00,0.708,0.012,0.775,0.053,3.44,0.92
0.100,0.010,3,0.8,0.1,100.00,0.586,0.012,0.776,0.058,40.20,0.91
0.010,0.010,2,0.4,0.1,100.00,0.715,0.012,0.779,0.054,3.06,0.93
0.100,0.010,3,0.6,0.1,10.00,0.660,0.014,0.780,0.057,5.21,0.92
0.100,0.010,1,0.8,0.1,100.00,0.741,0.013,0.784,0.058,9.09,0.92
0.010,0.010,2,0.6,0.1,100.00,0.723,0.013,0.785,0.055,2.90,0.92
0.010,0.010,1,0.8,0.1,100.00,0.742,0.013,0.785,0.059,3.07,0.92
0.010,0.010,2,0.8,0.1,100.00,0.736,0.013,0.791,0.058,2.77,0.92
0.100,0.010,2,0.2,0.1,100.00,0.702,0.012,0.795,0.050,7.73,0.92
0.100,0.010,2,0.4,0.1,100.00,0.709,0.013,0.803,0.052,12.10,0.92
0.100,0.010,2,0.2,0.1,10.00,0.743,0.014,0.804,0.059,1.71,0.92
0.100,0.010,3,0.8,0.1,10.00,0.682,0.017,0.807,0.060,5.85,0.91
0.010,0.010,2,0.2,0.1,10.00,0.776,0.014,0.809,0.062,1.71,0.92
0.010,0.010,3,0.2,0.1,10.00,0.778,0.014,0.810,0.063,2.21,0.92
0.100,0.010,2,0.4,0.1,10.00,0.742,0.014,0.811,0.055,2.01,0.92
0.010,0.010,1,0.2,0.1,10.00,0.781,0.014,0.812,0.063,1.65,0.92
0.100,0.010,2,0.6,0.1,100.00,0.717,0.013,0.812,0.051,15.14,0.92
0.010,0.010,2,0.4,0.1,10.00,0.782,0.014,0.813,0.062,1.66,0.93
0.100,0.010,1,0.2,0.1,10.00,0.783,0.013,0.814,0.064,1.77,0.92
0.100,0.100,3,0.2,0.1,0.10,0.790,0.011,0.816,0.047,2.24,0.92
0.100,0.010,2,0.2,0.1,1.00,0.787,0.014,0.816,0.059,1.51,0.91
