best_model: {'scl': StandardScaler(), 'reg': RegressorChain(base_estimator=SVR(C=12.0, gamma=0.08))}
train_score: 0.88 (0.01)
test_score: 1.15 (0.04)
fit_time: 0.39 (0.01)
mean_train_score,std_train_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,reg__base_estimator__C,reg__base_estimator__gamma
-1.2516257506514972,0.01962507989025088,-1.3029293423073685,0.08618649397411594,0.16442670822143554,0.011448669558713456,2.0,0.02
-1.1237266577033362,0.015585358162401884,-1.2055605408943155,0.07213353376357734,0.20473213195800782,0.014339335971052407,2.0,0.04
-1.077187435606525,0.013282541771819404,-1.188880582725547,0.0617670161642882,0.21711225509643556,0.011805220746807487,2.0,0.06
-1.0467711604587966,0.011907107643528378,-1.187231717752659,0.05764416542380624,0.21760811805725097,0.010991250209395483,2.0,0.08
-1.022750315403823,0.011123239768258717,-1.1944658262300367,0.052495832716651064,0.21631379127502443,0.013193348690202692,2.0,0.1
-1.0059171421165973,0.011630755508165195,-1.2065989271419668,0.04894070938725441,0.24632773399353028,0.013461192878238718,2.0,0.12
-0.9913816422666079,0.011205361760318791,-1.2195039166754857,0.0497187142677983,0.2378014087677002,0.009325608196919388,2.0,0.14
-0.977998115152333,0.01071508977045766,-1.2381019578499113,0.052201467190081854,0.23799986839294435,0.01764120763897698,2.0,0.16
-0.9665806954556618,0.010738636220433053,-1.2587066522196264,0.05271414613573487,0.23539843559265136,0.017649161386700696,2.0,0.18
-0.9569053604230021,0.010520449963639879,-1.2825139171706046,0.05478627393085544,0.22260069847106934,0.0026528599148266047,2.0,0.2
-0.949060682622686,0.010767254735399537,-1.3065116339946012,0.05626711678123004,0.23520116806030272,0.00511418004457589,2.0,0.22
-0.9426641067573305,0.011068505872368285,-1.3327085080575398,0.05638057935089642,0.22679972648620605,0.0036550748181439835,2.0,0.24
-0.9370135096409046,0.011054250490758985,-1.3578799352921234,0.05600627255933829,0.25859975814819336,0.014555095236253535,2.0,0.26
-0.9324676000786996,0.011324681417864028,-1.3833581976642528,0.05575302572949569,0.24740114212036132,0.015895730234888692,2.0,0.28
