g_p,g_r,d,rho,mean_train,std_train,mean_test,std_test,time
0.010,0.001,2,0.6,1.48,0.03,1.52,0.12,0.97
0.010,0.001,2,0.8,1.47,0.03,1.52,0.12,1.09
0.010,0.001,2,1.0,1.47,0.03,1.52,0.12,1.07
0.010,0.001,3,0.0,1.66,0.03,1.68,0.10,1.54
0.010,0.001,3,0.2,1.45,0.03,1.50,0.12,1.59
0.010,0.001,3,0.4,1.41,0.02,1.47,0.11,1.69
0.010,0.001,3,0.6,1.39,0.02,1.45,0.11,1.74
0.010,0.001,3,0.8,1.36,0.02,1.43,0.11,1.85
0.010,0.001,3,1.0,1.34,0.02,1.42,0.11,1.94
0.010,0.001,4,0.0,1.66,0.03,1.68,0.10,1.50
0.010,0.001,4,0.2,1.37,0.02,1.43,0.11,1.76
0.010,0.001,4,0.4,1.30,0.02,1.37,0.10,1.83
0.010,0.001,4,0.6,1.26,0.02,1.34,0.09,2.01
0.010,0.001,4,0.8,1.23,0.02,1.32,0.09,2.23
0.010,0.001,4,1.0,1.21,0.02,1.31,0.09,2.36
0.010,0.010,1,0.0,1.27,0.02,1.34,0.09,1.03
0.010,0.010,1,0.2,1.29,0.02,1.35,0.10,1.09
0.010,0.010,1,0.4,1.32,0.02,1.37,0.10,0.96
0.010,0.010,1,0.6,1.35,0.02,1.40,0.10,0.95
0.010,0.010,1,0.8,1.42,0.03,1.45,0.11,0.96
0.010,0.010,1,1.0,1.89,0.03,1.92,0.11,0.95
0.010,0.010,2,0.0,1.27,0.02,1.34,0.09,1.04
0.010,0.010,2,0.2,1.29,0.02,1.36,0.10,0.98
0.010,0.010,2,0.4,1.32,0.02,1.38,0.10,1.03
0.010,0.010,2,0.6,1.35,0.02,1.41,0.10,1.02
0.010,0.010,2,0.8,1.40,0.02,1.45,0.11,1.03
0.010,0.010,2,1.0,1.47,0.03,1.52,0.12,1.12
0.010,0.010,3,0.0,1.27,0.02,1.34,0.09,1.67
0.010,0.010,3,0.2,1.28,0.02,1.35,0.10,1.79
0.010,0.010,3,0.4,1.29,0.02,1.36,0.10,1.80
0.010,0.010,3,0.6,1.30,0.02,1.37,0.10,1.82
0.010,0.010,3,0.8,1.32,0.02,1.39,0.10,1.90
0.010,0.010,3,1.0,1.34,0.02,1.42,0.11,2.00
0.010,0.010,4,0.0,1.27,0.02,1.34,0.09,1.70
0.010,0.010,4,0.2,1.25,0.02,1.32,0.09,1.93
0.010,0.010,4,0.4,1.23,0.02,1.31,0.09,1.94
0.010,0.010,4,0.6,1.22,0.02,1.31,0.09,2.16
0.010,0.010,4,0.8,1.22,0.02,1.31,0.09,2.29
