g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
1.000,1.000,4,0.4,0.1,10.00,0.744,0.009,0.870,0.038,2.88,0.93
1.000,1.000,4,0.6,0.1,10.00,0.748,0.009,0.871,0.038,2.85,0.92
1.000,1.000,4,0.2,0.1,10.00,0.744,0.010,0.873,0.039,2.85,0.93
0.500,1.000,1,0.2,0.1,10.00,0.758,0.010,0.876,0.040,2.11,0.93
1.000,1.000,1,0.2,0.1,10.00,0.758,0.010,0.876,0.040,2.33,0.92
0.100,1.000,1,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.12,0.93
0.100,1.000,2,0.0,0.1,10.00,0.749,0.010,0.876,0.042,1.97,0.93
0.100,1.000,3,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.65,0.93
0.100,1.000,4,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.68,0.93
0.500,1.000,1,0.0,0.1,10.00,0.749,0.010,0.876,0.042,1.99,0.93
0.500,1.000,2,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.08,0.93
0.500,1.000,3,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.74,0.93
0.500,1.000,4,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.58,0.93
1.000,1.000,1,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.23,0.93
1.000,1.000,2,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.44,0.93
1.000,1.000,3,0.0,0.1,10.00,0.749,0.010,0.876,0.042,3.06,0.93
1.000,1.000,4,0.0,0.1,10.00,0.749,0.010,0.876,0.042,2.93,0.93
0.100,1.000,1,0.2,0.1,10.00,0.759,0.010,0.876,0.042,1.96,0.93
0.500,1.000,4,0.2,0.1,10.00,0.758,0.010,0.876,0.042,2.59,0.93
0.100,1.000,1,0.4,0.1,10.00,0.771,0.010,0.876,0.041,1.90,0.93
0.100,1.000,3,0.2,0.1,10.00,0.759,0.010,0.876,0.042,2.55,0.93
0.100,1.000,4,0.2,0.1,10.00,0.759,0.010,0.876,0.042,2.47,0.93
0.100,1.000,2,0.2,0.1,10.00,0.759,0.010,0.876,0.042,1.99,0.93
0.500,1.000,3,0.2,0.1,10.00,0.758,0.010,0.877,0.041,2.61,0.92
0.500,1.000,4,0.4,0.1,10.00,0.769,0.010,0.877,0.042,2.50,0.93
1.000,1.000,3,0.2,0.1,10.00,0.751,0.010,0.877,0.040,3.04,0.93
0.100,1.000,4,0.4,0.1,10.00,0.771,0.010,0.877,0.042,2.40,0.93
