g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.010,0.100,1,0.3,0.1,10.00,0.540,0.007,0.689,0.031,2.51,0.91
0.010,0.100,4,0.3,0.1,10.00,0.541,0.007,0.690,0.030,3.39,0.91
0.010,0.100,5,0.3,0.1,10.00,0.541,0.007,0.690,0.030,3.22,0.91
0.010,0.100,3,0.3,0.1,10.00,0.541,0.007,0.690,0.030,3.24,0.91
0.010,0.100,2,0.3,0.1,10.00,0.541,0.007,0.690,0.031,2.40,0.91
0.010,0.100,1,0.4,0.1,10.00,0.548,0.007,0.690,0.032,2.25,0.91
0.010,0.100,1,0.5,0.1,10.00,0.557,0.007,0.690,0.033,2.28,0.90
0.010,0.100,1,0.2,0.1,10.00,0.533,0.007,0.690,0.030,2.46,0.90
0.010,0.100,5,0.4,0.1,10.00,0.550,0.007,0.690,0.031,3.20,0.91
0.010,0.100,4,0.4,0.1,10.00,0.550,0.007,0.690,0.031,3.16,0.91
0.010,0.100,3,0.4,0.1,10.00,0.550,0.007,0.690,0.031,3.05,0.91
0.010,0.100,2,0.4,0.1,10.00,0.550,0.007,0.690,0.031,2.17,0.91
0.100,0.100,1,0.2,0.1,10.00,0.531,0.007,0.690,0.030,2.66,0.90
0.010,0.100,5,0.2,0.1,10.00,0.534,0.007,0.691,0.029,3.29,0.90
0.010,0.100,4,0.2,0.1,10.00,0.534,0.007,0.691,0.029,3.31,0.90
0.010,0.100,3,0.2,0.1,10.00,0.534,0.007,0.691,0.029,3.39,0.90
0.010,0.100,2,0.2,0.1,10.00,0.534,0.007,0.691,0.029,2.54,0.90
0.010,0.100,3,0.5,0.1,10.00,0.559,0.007,0.691,0.031,3.07,0.91
0.100,0.100,1,0.3,0.1,10.00,0.538,0.007,0.691,0.031,2.76,0.91
0.010,0.100,4,0.5,0.1,10.00,0.559,0.007,0.691,0.031,3.14,0.91
0.010,0.100,5,0.5,0.1,10.00,0.559,0.007,0.691,0.031,3.21,0.91
0.010,0.100,1,0.6,0.1,10.00,0.568,0.008,0.691,0.033,2.22,0.91
0.100,0.100,1,0.4,0.1,10.00,0.546,0.007,0.691,0.033,2.86,0.91
0.010,0.100,2,0.5,0.1,10.00,0.559,0.007,0.691,0.031,2.14,0.91
0.100,0.100,5,0.1,0.1,10.00,0.492,0.007,0.692,0.026,4.12,0.90
0.100,0.100,1,0.1,0.1,10.00,0.526,0.007,0.692,0.028,2.83,0.90
0.100,0.100,1,0.5,0.1,10.00,0.555,0.007,0.692,0.034,2.68,0.90
0.010,0.100,1,0.7,0.1,10.00,0.581,0.008,0.692,0.034,1.97,0.91
0.010,0.100,1,0.1,0.1,10.00,0.527,0.007,0.692,0.028,2.65,0.90
0.010,0.100,5,0.6,0.1,10.00,0.571,0.007,0.692,0.030,3.05,0.91
0.010,0.100,3,0.6,0.1,10.00,0.570,0.007,0.692,0.030,3.04,0.91
0.010,0.100,4,0.6,0.1,10.00,0.571,0.007,0.692,0.030,2.97,0.91
0.010,0.100,2,0.6,0.1,10.00,0.570,0.008,0.692,0.030,2.20,0.91
0.010,0.100,5,0.1,0.1,10.00,0.527,0.007,0.692,0.027,3.39,0.90
0.010,0.100,4,0.1,0.1,10.00,0.527,0.007,0.692,0.027,3.32,0.90
0.010,0.100,3,0.1,0.1,10.00,0.527,0.007,0.692,0.027,3.49,0.90
0.010,0.100,2,0.1,0.1,10.00,0.527,0.007,0.692,0.027,2.58,0.90
0.100,0.100,1,0.6,0.1,10.00,0.566,0.008,0.693,0.034,2.71,0.91
0.010,0.100,5,0.9,0.1,100.00,0.521,0.007,0.694,0.026,4.88,0.90
0.010,0.100,1,0.9,0.1,100.00,0.518,0.008,0.694,0.027,4.30,0.90
0.100,0.100,1,0.7,0.1,10.00,0.580,0.008,0.694,0.035,2.50,0.90
0.010,0.100,4,0.9,0.1,100.00,0.521,0.007,0.694,0.026,4.81,0.90
0.010,0.100,3,0.7,0.1,10.00,0.584,0.008,0.694,0.031,2.75,0.91
0.010,0.100,4,0.7,0.1,10.00,0.584,0.008,0.694,0.031,2.94,0.91
0.010,0.100,5,0.7,0.1,10.00,0.584,0.008,0.694,0.031,3.10,0.91
0.010,0.100,2,0.7,0.1,10.00,0.584,0.008,0.694,0.031,2.11,0.91
0.100,0.100,1,0.9,0.1,100.00,0.518,0.008,0.694,0.026,9.60,0.90
0.010,0.100,3,0.9,0.1,100.00,0.520,0.007,0.694,0.026,4.92,0.90
0.100,0.100,2,0.1,0.1,10.00,0.526,0.007,0.695,0.028,2.87,0.90
0.100,0.100,5,0.2,0.1,10.00,0.480,0.007,0.695,0.029,4.25,0.90
0.100,0.100,2,0.2,0.1,10.00,0.532,0.007,0.695,0.030,2.93,0.90
0.100,0.100,2,0.3,0.1,10.00,0.538,0.007,0.695,0.032,3.08,0.90
0.100,0.100,5,0.6,0.1,10.00,0.463,0.007,0.695,0.029,5.57,0.90
0.010,0.100,2,0.9,0.1,100.00,0.520,0.007,0.696,0.026,4.47,0.90
0.100,0.100,5,0.5,0.1,10.00,0.464,0.007,0.696,0.029,5.05,0.90
0.100,0.100,5,0.7,0.1,10.00,0.464,0.008,0.696,0.030,6.07,0.89
0.100,0.100,2,0.4,0.1,10.00,0.546,0.007,0.696,0.034,3.16,0.91
0.100,0.100,1,0.8,0.1,10.00,0.599,0.009,0.696,0.038,2.51,0.90
0.010,0.100,1,0.8,0.1,10.00,0.599,0.008,0.696,0.037,1.94,0.91
0.100,0.100,3,0.1,0.1,10.00,0.519,0.008,0.697,0.027,4.02,0.90
0.100,0.100,5,0.4,0.1,10.00,0.467,0.007,0.697,0.030,5.27,0.90
0.100,0.100,3,0.8,0.1,10.00,0.553,0.010,0.697,0.039,4.48,0.90
0.100,0.100,5,0.3,0.1,10.00,0.472,0.007,0.697,0.030,4.56,0.90
0.100,0.100,3,0.2,0.1,10.00,0.521,0.008,0.697,0.029,4.08,0.90
0.100,0.100,2,0.5,0.1,10.00,0.555,0.007,0.698,0.035,3.22,0.90
0.100,0.100,3,0.7,0.1,10.00,0.543,0.009,0.698,0.036,4.46,0.89
0.100,0.100,3,0.3,0.1,10.00,0.523,0.008,0.698,0.030,4.57,0.90
0.100,0.100,1,0.8,0.1,100.00,0.479,0.008,0.698,0.027,10.57,0.91
0.010,0.100,3,0.8,0.1,10.00,0.603,0.009,0.698,0.034,2.69,0.90
