,units,weights,learning_rate,lambda_reg,activation_function,mean_val_loss,std_val_loss,mean_val_accuracy,std_val_accuracy
0,2,0.1,0.0001,0.001,binary_crossentropy,0.23501349488894144,0.010021112829860339,0.6210317611694336,0.033082010434285825
1,2,0.1,0.01,1e-05,binary_crossentropy,0.25260872145493823,0.013554362491156434,0.5853174726168314,0.07689612453959567
2,2,0.3,0.1,0.0001,binary_crossentropy,0.24754571914672852,0.020822743645418407,0.5615079502264658,0.0991666654375551
3,2,0.7,0.0001,0.01,binary_crossentropy,0.3412240147590637,0.010552285417209536,0.3789682586987813,0.03308200626362967
4,2,0.1,0.0001,0.0,binary_crossentropy,0.2348641405502955,0.009830438059868059,0.6210317611694336,0.033082010434285825
5,2,0.1,0.01,0.01,binary_crossentropy,0.2590675602356593,0.009518060943784257,0.484857976436615,0.042352633641594965
6,4,0.1,0.0001,0.001,binary_crossentropy,0.2342497060696284,0.012431142539252853,0.6210317611694336,0.033082010434285825
7,2,0.7,0.0001,0.0001,binary_crossentropy,0.30485578378041583,0.010726370498367716,0.3789682586987813,0.03308200626362967
8,2,0.1,0.01,0.0,binary_crossentropy,0.24558528264363608,0.014032281605045046,0.5436507960160574,0.08819886533360832
9,4,0.1,0.0001,0.0001,binary_crossentropy,0.23397560914357504,0.012203867306423151,0.6210317611694336,0.033082010434285825
10,2,0.7,0.01,0.01,binary_crossentropy,0.2574995805819829,0.012982445059230022,0.5138888955116272,0.11022178816071404
11,2,0.1,0.0001,1e-05,binary_crossentropy,0.23482375840346018,0.009913336837367708,0.6210317611694336,0.033082010434285825
12,2,0.1,0.0001,0.0001,binary_crossentropy,0.23478493094444275,0.00987951335281889,0.6210317611694336,0.033082010434285825
13,2,0.1,0.0001,0.01,binary_crossentropy,0.23679123322168985,0.01110257566662119,0.6210317611694336,0.033082010434285825
14,2,0.7,0.1,0.0,binary_crossentropy,0.26267537971337634,0.016805150716188846,0.4384920696417491,0.10936122629992913
15,2,0.7,0.0001,0.0,binary_crossentropy,0.3038126428922017,0.010648196256572116,0.3789682586987813,0.03308200626362967
16,4,0.1,0.01,0.01,binary_crossentropy,0.2613540341456731,0.011015331007271523,0.5437552332878113,0.07486195208119595
17,4,0.1,0.0001,0.0,binary_crossentropy,0.23395690818627676,0.012125657182217272,0.6210317611694336,0.033082010434285825
18,4,0.1,0.0001,1e-05,binary_crossentropy,0.23399606347084045,0.012219985189187361,0.6210317611694336,0.033082010434285825
19,2,0.1,0.1,0.0,binary_crossentropy,0.2384879191716512,0.00452749074528692,0.6210317611694336,0.033082010434285825
20,2,0.5,0.01,0.01,binary_crossentropy,0.25886387129624683,0.011896780918936778,0.5140977303187052,0.08339101533840886
21,2,0.5,0.001,0.001,binary_crossentropy,0.24637911220391592,0.020060037793821338,0.5317460397879282,0.09651101307816834
22,2,0.3,0.01,0.01,binary_crossentropy,0.26042772829532623,0.013277816096328946,0.502715120712916,0.03254261465177109
23,2,0.5,0.1,0.01,binary_crossentropy,0.2632145285606384,0.028225475799389964,0.5317460397879282,0.09976036534613365
24,2,0.7,0.0001,1e-05,binary_crossentropy,0.3041975796222687,0.010482151217166452,0.3789682586987813,0.03308200626362967
25,2,0.5,0.001,0.0001,binary_crossentropy,0.24649094541867575,0.01827846758140204,0.5317460397879282,0.09651101307816834
26,4,0.1,0.1,1e-05,binary_crossentropy,0.2610655128955841,0.019637743663904632,0.4682539800802867,0.10495263088279265
27,2,0.3,0.0001,0.001,binary_crossentropy,0.23455242812633514,0.010679413585690358,0.6210317611694336,0.033082010434285825
28,2,0.7,0.1,0.0001,binary_crossentropy,0.24538609385490417,0.013379317319073231,0.5793650845686594,0.08492435699395395
29,4,0.1,0.001,1e-05,binary_crossentropy,0.2471218705177307,0.02097644583582156,0.5376984179019928,0.09148526407185212
30,4,0.1,0.0001,0.01,binary_crossentropy,0.235809917251269,0.013826956370106787,0.6210317611694336,0.033082010434285825
31,2,0.5,0.001,1e-05,binary_crossentropy,0.246008629600207,0.01877583088775699,0.5317460397879282,0.09651101307816834
32,4,0.1,0.001,0.01,binary_crossentropy,0.24864090979099274,0.020540334529608708,0.5555555522441864,0.08380442778498301
33,2,0.1,0.1,1e-05,binary_crossentropy,0.2426400681336721,0.012774196529898597,0.6210317611694336,0.033082010434285825
34,2,0.7,0.0001,0.001,binary_crossentropy,0.30833999315897626,0.010446216933203132,0.3789682586987813,0.03308200626362967
35,2,0.3,0.001,0.0001,binary_crossentropy,0.24699259301026663,0.01815376305546352,0.5257936616738638,0.1019849055954038
36,2,0.7,0.1,0.01,binary_crossentropy,0.25076882541179657,0.015738256378799977,0.5079365173975626,0.11318223415562048
37,2,0.3,0.0001,0.0001,binary_crossentropy,0.23463882009188333,0.010202640333359143,0.6210317611694336,0.033082010434285825
38,2,0.5,0.001,0.0,binary_crossentropy,0.2464669942855835,0.01800064989633713,0.5496031840642294,0.08309679905488175
39,2,0.5,0.1,0.0,binary_crossentropy,0.2437261939048767,0.004364022654790162,0.6210317611694336,0.033082010434285825
40,4,0.1,0.001,0.0001,binary_crossentropy,0.24666783710320792,0.020839404273189286,0.5436507960160574,0.08819886533360832
41,2,0.3,0.0001,1e-05,binary_crossentropy,0.23460532228151956,0.010130414535333159,0.6210317611694336,0.033082010434285825
42,2,0.3,0.001,1e-05,binary_crossentropy,0.2473364919424057,0.018400386394332724,0.5257936616738638,0.1019849055954038
43,4,0.1,0.001,0.0,binary_crossentropy,0.24717613061269125,0.021658161646895647,0.5496031741301218,0.08561687550259361
44,2,0.7,0.001,0.001,binary_crossentropy,0.2449010064204534,0.01939772706041806,0.5257936616738638,0.10607195976882805
45,4,0.1,0.001,0.001,binary_crossentropy,0.2469220906496048,0.021983302141038222,0.5436507960160574,0.08819886533360832
46,2,0.3,0.001,0.0,binary_crossentropy,0.24688474833965302,0.01841794773697363,0.5317460397879282,0.09651101307816834
47,2,0.3,0.0001,0.01,binary_crossentropy,0.23675028483072916,0.012368198955937217,0.6210317611694336,0.033082010434285825
48,2,0.7,0.001,1e-05,binary_crossentropy,0.24523079891999564,0.020325592521640703,0.5436508059501648,0.0869853633550878
49,2,0.3,0.0001,0.0,binary_crossentropy,0.23471436897913614,0.010146475011464335,0.6210317611694336,0.033082010434285825
50,2,0.1,0.1,0.01,binary_crossentropy,0.24825243651866913,0.013427493400502238,0.5615079502264658,0.09018507536960706
51,4,0.1,0.1,0.001,binary_crossentropy,0.2666109999020894,0.03077522168956633,0.5198412835597992,0.10783871992046108
52,2,0.7,0.001,0.0,binary_crossentropy,0.24589896698792776,0.02044305774136225,0.5496031840642294,0.08309679905488175
53,2,0.5,0.001,0.01,binary_crossentropy,0.24620724221070608,0.024425389661330035,0.5376984179019928,0.09378018745790302
54,2,0.7,0.001,0.0001,binary_crossentropy,0.24606313308080038,0.01909822397703166,0.5317460298538208,0.09540331126132015
55,2,0.3,0.001,0.001,binary_crossentropy,0.24736935396989188,0.019172586455743594,0.5317460397879282,0.09651101307816834
56,2,0.3,0.001,0.01,binary_crossentropy,0.2460682988166809,0.023367848392040237,0.5615079402923584,0.07750804362143596
57,2,0.7,0.01,0.0001,binary_crossentropy,0.24993461867173514,0.014734249226929303,0.5615079502264658,0.09018507536960706
58,2,0.7,0.001,0.01,binary_crossentropy,0.24640859166781107,0.026236339566372037,0.5257936517397562,0.09987868728619478
59,4,0.1,0.1,0.0,binary_crossentropy,0.2546791384617488,0.011680782497205706,0.4563492139180501,0.11349483829551445
