,units,layers,learning_rate,activation_function,lambda_reg,mean_val_loss,std_val_loss
377,16,1,0.1,leakyrelu,0.01,1.7676758289337158,0.166840664986949
378,4,2,0.001,elu,0.0,1.3201802253723145,0.08835844348498514
379,16,1,0.0001,relu,0.0,1.2834105491638184,0.04813248309209249
380,4,3,0.0001,relu,0.0001,1.3712711572647094,0.10438062066095692
381,1,2,0.001,leakyrelu,0.01,3.124125099182129,0.08839102552196382
382,4,5,0.001,leakyrelu,0.001,1.3511279344558715,0.08496432458891413
383,1,4,0.0001,elu,0.005,4.022026491165161,1.8035067381531071
384,1,2,0.01,relu,0.0,6.380235767364502,1.6699745283573975
385,1,3,0.001,relu,0.005,7.191665840148926,0.18846416688779627
386,1,2,0.01,relu,1e-05,4.7122937679290775,2.138290465133505
387,4,1,0.0001,relu,0.0001,1.5460700273513794,0.0736123842320363
388,1,2,0.01,relu,0.0001,5.5317075729370115,2.127693732235124
389,4,2,0.0001,relu,0.0001,1.4002227783203125,0.1280285996714565
390,1,2,0.01,relu,0.001,4.697983598709106,2.0129520906185236
391,4,2,0.001,elu,1e-05,1.3276455640792846,0.0955453887525455
392,1,2,0.01,relu,0.005,6.348789930343628,1.7020060095497553
393,4,5,0.001,leakyrelu,0.005,1.8136045217514039,0.6322144861829834
394,1,2,0.01,relu,0.01,4.724315643310547,1.938218177035246
395,4,1,0.001,leakyrelu,0.01,1.7241981744766235,0.09386095450632435
396,1,3,0.001,relu,0.01,7.191636848449707,0.1884438979147698
397,1,2,0.01,elu,0.0,3.0205780029296876,0.0882812422866089
398,4,1,0.01,relu,0.0,1.4408796072006225,0.06659052518983015
399,1,2,0.0001,relu,0.0001,5.028882837295532,2.521419622906836
400,1,2,0.01,elu,1e-05,3.027013921737671,0.08550016256545746
401,4,1,0.01,relu,1e-05,1.4200547933578491,0.0706683972066159
402,1,2,0.01,elu,0.0001,3.023079204559326,0.08363970271485274
403,16,2,0.0001,relu,0.0,1.2520342588424682,0.07105673075230236
404,4,1,0.01,relu,0.0001,1.4663034915924071,0.07018480025342558
405,4,2,0.001,elu,0.0001,1.3432069540023803,0.06830959843837255
406,1,3,0.001,elu,0.0,2.9937928199768065,0.08029563704282933
407,4,1,0.01,relu,0.001,1.4458773851394653,0.15460878325876865
408,1,2,0.01,elu,0.001,3.07313871383667,0.12682170381188673
409,4,5,0.001,leakyrelu,0.01,1.602314305305481,0.09668652149676461
410,4,5,0.0001,relu,0.0001,1.4241333961486817,0.07219288295165906
411,4,5,0.01,relu,0.0,2.7748653173446653,2.2115950799429114
412,4,1,0.01,relu,0.005,1.5007006645202636,0.0924935786555457
413,1,5,0.0001,relu,0.0001,8.113746547698975,0.3148777092584403
414,1,2,0.01,elu,0.005,3.0398326396942137,0.06632264557876213
415,4,1,0.01,relu,0.01,1.674652338027954,0.11367139382656281
416,4,4,0.0001,relu,0.005,1.5736124753952025,0.10929691528107152
417,4,5,0.01,relu,1e-05,1.642127513885498,0.5569975994612383
418,4,5,0.01,relu,0.0001,1.8972491979599,0.8054300487930479
419,4,2,0.001,elu,0.001,1.355848503112793,0.06967842964866156
420,1,2,0.01,elu,0.01,3.068898916244507,0.06836564331513854
421,4,1,0.01,elu,0.0,1.4049708604812623,0.14639289812118642
422,1,3,0.001,elu,1e-05,2.99396333694458,0.07757192719859846
423,4,5,0.01,relu,0.001,3.4247731447219847,1.9728508720490636
424,1,2,0.01,leakyrelu,0.0,3.005876922607422,0.06784405161775733
425,4,3,0.0001,relu,0.001,1.3450285196304321,0.08535200276783893
426,4,1,0.01,elu,1e-05,1.4533113956451416,0.09359361878662165
427,4,5,0.01,relu,0.005,2.6656413078308105,2.273966704230342
428,1,2,0.01,leakyrelu,1e-05,3.0065122127532957,0.06144383056765525
429,1,2,0.01,leakyrelu,0.0001,3.002922248840332,0.07010535641410781
430,16,1,0.0001,leakyrelu,0.01,1.6448134422302245,0.06748341486660522
431,4,1,0.01,elu,0.0001,1.4396868228912354,0.08468579080598919
432,4,5,0.01,relu,0.01,3.2805113077163695,1.980763641610687
433,1,2,0.01,leakyrelu,0.001,3.0180899620056154,0.0662606534433033
434,1,3,0.0001,relu,0.0001,7.065147638320923,2.011316674232765
435,4,1,0.01,elu,0.001,1.443378734588623,0.06040228966935056
436,4,5,0.01,elu,0.0,1.520498013496399,0.6277001497354667
437,4,3,0.0001,elu,0.01,1.6016618490219117,0.09846487643015026
438,16,1,0.0001,relu,1e-05,1.2878990173339844,0.06100627233785779
439,1,3,0.001,elu,0.0001,3.0047767639160154,0.07851359293369146
440,4,5,0.01,elu,1e-05,1.9368515491485596,0.8363707917870361
441,1,2,0.01,leakyrelu,0.005,3.1025650024414064,0.0920755687059115
442,4,1,0.01,elu,0.005,1.470530915260315,0.07627606851121364
443,4,2,0.001,elu,0.005,1.4464722633361817,0.0877491026004252
444,4,5,0.01,elu,0.0001,1.2902633905410767,0.06986303069147441
445,16,1,0.001,relu,0.0,1.2356293439865111,0.06900665261754035
446,1,2,0.01,leakyrelu,0.01,3.246434450149536,0.09483862606427572
447,1,2,0.1,relu,0.0,4.763919067382813,2.046913294784671
448,1,2,0.1,relu,1e-05,4.717074680328369,1.9062977103606134
449,1,1,0.0001,relu,0.001,3.015830945968628,0.06746563425410912
450,4,5,0.01,elu,0.001,1.3579535484313965,0.08502112705978597
451,16,2,0.0001,relu,1e-05,1.242104697227478,0.08826525296116752
452,4,1,0.01,elu,0.01,1.5489923477172851,0.10508756488684282
453,4,1,0.0001,relu,0.001,1.446721863746643,0.06827044943807119
454,4,1,0.01,leakyrelu,0.0,1.4110804319381713,0.07000064351839115
455,4,5,0.01,elu,0.005,1.456976842880249,0.057489149532436626
456,1,4,0.0001,relu,0.0001,8.113815689086914,0.3149354617379755
457,4,1,0.01,leakyrelu,1e-05,1.4838338851928712,0.05954733694524972
458,1,3,0.001,elu,0.001,3.051104927062988,0.11452352495786149
459,4,2,0.0001,relu,0.001,3.177185606956482,2.625631865414218
460,4,5,0.01,elu,0.01,1.5816517114639281,0.12030167000366376
461,16,1,0.001,relu,1e-05,1.2272488355636597,0.07344031117180089
462,4,2,0.001,elu,0.01,1.5211946964263916,0.07822571681733223
463,4,1,0.01,leakyrelu,0.0001,1.4654472589492797,0.16270858768769833
464,4,5,0.01,leakyrelu,0.0,1.2942713260650636,0.11076192290323085
465,4,1,0.01,leakyrelu,0.001,1.4538037300109863,0.16648777538691498
466,4,5,0.01,leakyrelu,1e-05,1.2972075462341308,0.07061915858241417
467,16,1,0.001,relu,0.0001,1.251309609413147,0.06986190657594087
468,4,1,0.01,leakyrelu,0.005,1.620775008201599,0.12366157786619396
469,1,4,0.0001,elu,0.01,5.030476856231689,2.225386179147598
470,4,2,0.001,leakyrelu,0.0,1.3995856285095214,0.08924193989185997
471,4,5,0.01,leakyrelu,0.0001,1.3348973512649536,0.11306956122460689
472,4,1,0.01,leakyrelu,0.01,1.723822832107544,0.10955233993535658
473,4,5,0.01,leakyrelu,0.001,1.405567216873169,0.10364953686549622
474,4,3,0.0001,relu,0.005,1.5326371431350707,0.07882826650551822
475,4,1,0.1,relu,0.0,1.4550004243850707,0.13351698192580566
476,4,1,0.1,relu,1e-05,1.441870141029358,0.10638095383887194
477,4,5,0.0001,relu,0.001,1.6859548330307006,0.6787144837046184
478,16,1,0.001,relu,0.001,1.3102381467819213,0.073667782728073
479,4,5,0.01,leakyrelu,0.005,1.516069221496582,0.12491087354708207
480,1,3,0.001,elu,0.005,3.094059610366821,0.03336323723899436
481,4,2,0.001,leakyrelu,1e-05,1.4206042528152465,0.14307401080354726
482,16,2,0.01,relu,0.005,1.3903795719146728,0.0859401356517936
483,4,5,0.01,leakyrelu,0.01,1.8702750205993652,0.5475689011992925
484,16,2,0.0001,relu,0.0001,1.2405410528182983,0.06974217510797451
485,4,4,0.0001,relu,0.01,2.920457148551941,2.705539540454827
486,16,2,0.01,relu,0.01,1.5191139698028564,0.067541591992173
487,4,5,0.1,relu,0.0,3.0546016693115234,2.142979824444204
488,4,5,0.1,relu,1e-05,4.330369257926941,2.285898427841589
489,1,2,0.0001,relu,0.001,6.170665216445923,2.547300661916117
490,16,2,0.01,elu,0.0,1.1944576501846313,0.07113808128360602
491,16,1,0.001,relu,0.005,1.4378811597824097,0.0863723722685787
492,16,2,0.01,elu,1e-05,1.2069122076034546,0.10189610095614855
493,16,2,0.0001,elu,0.0001,1.2090020179748535,0.09289099557347817
494,16,2,0.01,elu,0.0001,1.2609676122665405,0.14085890713314264
495,16,2,0.01,elu,0.001,1.3051316022872925,0.10949738386423788
496,4,3,0.0001,leakyrelu,0.0,1.3676322937011718,0.0754475772411095
497,4,2,0.001,leakyrelu,0.0001,1.3636310577392579,0.06487306484627836
498,16,2,0.01,elu,0.005,1.4076726198196412,0.10130795474923725
499,16,1,0.001,relu,0.01,1.5432261228561401,0.09788302327664772
500,16,2,0.01,elu,0.01,1.5227312088012694,0.09099876834083179
501,1,5,0.0001,relu,0.001,8.113854122161865,0.31476094295879403
502,16,2,0.01,leakyrelu,0.0,1.285290002822876,0.059771548920148396
503,16,1,0.0001,relu,0.0001,1.2601237297058105,0.07397120785021616
504,1,3,0.001,elu,0.01,5.606922626495361,2.0658414245605012
505,4,2,0.0001,relu,0.005,1.634586215019226,0.15417076235269764
506,16,2,0.01,leakyrelu,1e-05,1.2713513374328613,0.048957867504717256
507,4,2,0.001,leakyrelu,0.001,1.4013309001922607,0.07319236029065454
508,16,2,0.01,leakyrelu,0.0001,1.309500551223755,0.08024296320998027
509,16,3,0.0001,relu,0.0,1.2121742486953735,0.11482323377375653
510,16,1,0.001,elu,0.0,1.2257386684417724,0.07812795422403916
511,16,2,0.01,leakyrelu,0.001,1.357109498977661,0.047765223157418935
512,4,1,0.0001,relu,0.005,1.5546133518218994,0.07480641706374871
513,16,2,0.01,leakyrelu,0.005,1.4500224351882935,0.09528055963996254
514,1,3,0.0001,relu,0.001,7.136286401748658,2.0559054988532286
515,1,1,0.0001,relu,0.005,4.098043966293335,2.1165829618160967
516,4,3,0.0001,relu,0.01,1.6813073396682738,0.1369817841287488
517,16,2,0.01,leakyrelu,0.01,1.5460879325866699,0.08075972182550191
518,1,3,0.001,leakyrelu,0.0,3.0000290393829347,0.06921052396757779
519,16,2,0.0001,relu,0.001,1.2874707937240601,0.09915750059896296
520,16,2,0.1,relu,0.0,1.4175121784210205,0.10969925326434028
521,16,2,0.1,relu,1e-05,1.431947922706604,0.0941847843080197
522,16,2,0.1,relu,0.0001,1.4595715999603271,0.1316892223546104
523,16,2,0.1,relu,0.001,1.627579665184021,0.24590089531128453
524,16,1,0.001,elu,1e-05,1.221537470817566,0.06508215552473837
525,16,2,0.1,relu,0.005,1.6660242080688477,0.18695372199852983
526,16,2,0.1,relu,0.01,1.5857130289077759,0.1317221462492643
527,4,4,0.0001,elu,0.0,1.2825634717941283,0.08312046923052366
528,4,2,0.001,leakyrelu,0.005,1.508293128013611,0.07218140259461756
529,4,5,0.0001,relu,0.005,2.064432239532471,0.7258684444292566
530,16,2,0.1,elu,0.0,1.474246096611023,0.11356123576757218
531,16,2,0.0001,elu,0.001,1.2529256820678711,0.07441695133009603
532,16,2,0.1,elu,1e-05,1.4351649522781371,0.15444569779504658
533,1,3,0.001,leakyrelu,1e-05,3.006179094314575,0.07699600482595632
534,16,2,0.1,elu,0.0001,1.439448642730713,0.1077240276864551
535,1,4,0.0001,relu,0.001,8.11394567489624,0.3148636804831324
536,16,2,0.1,elu,0.001,1.4573794841766357,0.10496079524051398
537,16,1,0.001,elu,0.0001,1.2356239795684814,0.07460784806188313
538,16,2,0.1,elu,0.005,1.5368556737899781,0.051573368916695984
539,16,2,0.1,elu,0.01,1.8176554679870605,0.09019715722412218
540,16,2,0.1,leakyrelu,0.0,1.5092423677444458,0.16105999549166758
541,16,2,0.1,leakyrelu,1e-05,1.643118143081665,0.18430934384608613
542,1,4,0.0001,leakyrelu,0.0,3.0220823764801024,0.07066225366474706
543,16,2,0.1,leakyrelu,0.0001,1.501794195175171,0.1418167905721511
544,16,3,0.0001,relu,1e-05,1.2178606986999512,0.08108329199683359
545,4,3,0.0001,leakyrelu,1e-05,1.420540189743042,0.05572956930084677
546,1,3,0.001,leakyrelu,0.0001,3.001593589782715,0.06896710719257951
547,16,2,0.1,leakyrelu,0.001,1.5860918760299683,0.08057272545104463
548,4,2,0.001,leakyrelu,0.01,1.6474149465560912,0.10817366794881564
549,16,2,0.1,leakyrelu,0.005,1.675009274482727,0.2764456817850527
550,16,1,0.0001,relu,0.001,1.3389685869216919,0.06985226117493708
551,16,2,0.1,leakyrelu,0.01,1.8253724813461303,0.17501188916693217
552,4,2,0.01,relu,0.0,1.4701539278030396,0.15379206303299728
553,16,1,0.001,elu,0.001,1.2942338943481446,0.0869437382840157
554,4,2,0.01,relu,1e-05,1.3643177509307862,0.07306642110751622
555,4,2,0.01,relu,0.0001,1.339066171646118,0.1093641756254497
556,1,2,0.0001,relu,0.005,6.1873565196990965,2.5275382240903363
557,16,3,0.001,leakyrelu,0.0001,1.2079597949981689,0.07567581725144254
558,16,2,0.0001,relu,0.005,1.4015377759933472,0.10237194991609043
559,1,3,0.001,leakyrelu,0.001,3.030082273483276,0.07191383755084918
560,4,2,0.01,relu,0.001,1.4149394035339355,0.08056326340310128
561,16,1,0.001,elu,0.005,1.4671740531921387,0.08925226028960767
562,4,2,0.01,relu,0.005,1.498900580406189,0.08952896054883124
563,4,2,0.0001,relu,0.01,1.947923970222473,0.47855168333775044
564,4,2,0.01,relu,0.01,1.5705463409423828,0.149170101016916
565,16,3,0.001,leakyrelu,0.001,1.2709749937057495,0.059452986242177555
566,4,2,0.01,elu,0.0,1.3964213848114013,0.10590426084150885
567,4,3,0.0001,elu,0.0,1.2843586683273316,0.09102221684444224
568,4,2,0.01,elu,1e-05,1.3113112688064574,0.08115693162788692
569,1,3,0.001,leakyrelu,0.005,3.0865855693817137,0.060946290703287616
570,16,3,0.0001,relu,0.0001,1.212618613243103,0.08403346103114878
571,4,4,0.0001,elu,1e-05,1.295467209815979,0.09231981687016654
572,4,2,0.01,elu,0.0001,1.2909359455108642,0.09801386974248735
573,16,3,0.001,leakyrelu,0.005,1.397627067565918,0.09614830129363344
574,16,1,0.001,elu,0.01,1.559655523300171,0.07979729117084948
575,16,2,0.0001,elu,0.005,1.4107046127319336,0.08104616420876833
576,4,1,0.0001,relu,0.01,1.741069221496582,0.10221844452963895
577,4,2,0.01,elu,0.001,1.3750622987747192,0.0844066645261058
578,1,5,0.0001,relu,0.005,8.114011669158936,0.31454994381363044
579,4,2,0.01,elu,0.005,1.4929654598236084,0.1375337682482796
580,1,3,0.001,leakyrelu,0.01,3.1790224075317384,0.13268913848674113
581,16,3,0.001,leakyrelu,0.01,1.4993383646011353,0.0984971224663154
582,4,5,0.0001,relu,0.01,3.022489070892334,2.799473738452761
583,1,1,0.0001,relu,0.01,5.166603660583496,2.5341407019672655
584,4,2,0.01,elu,0.01,1.5496183395385743,0.07722412367562487
585,1,3,0.01,relu,0.0,6.335075187683105,1.7284022049270722
586,16,3,0.1,elu,0.005,1.6950486898422241,0.09421294166746165
587,16,3,0.01,relu,0.0,1.2469984531402587,0.06355599440871856
588,16,3,0.1,elu,0.01,1.7867213487625122,0.2365923071975059
589,16,1,0.001,leakyrelu,0.0,1.2328419446945191,0.06924108548100705
590,16,3,0.01,relu,1e-05,1.3089547395706176,0.0884882560005286
591,1,3,0.01,relu,1e-05,3.870673084259033,1.6688501071071438
592,16,3,0.1,leakyrelu,0.0,1.498336386680603,0.22878387755271876
593,16,3,0.01,relu,0.0001,1.3094080448150636,0.04806782801124104
594,1,3,0.0001,relu,0.005,6.029180002212525,2.4433179263999953
595,1,3,0.01,relu,0.0001,5.488558006286621,1.976727097597165
596,16,3,0.1,leakyrelu,1e-05,1.6514013290405274,0.14259652546890939
597,16,3,0.01,relu,0.001,1.2956573486328125,0.1170469058757491
598,16,3,0.1,leakyrelu,0.0001,1.6572083711624146,0.1324295026717524
599,1,3,0.01,relu,0.001,5.502629089355469,2.0218083456888643
600,16,3,0.1,leakyrelu,0.001,1.7183005332946777,0.11864104237602609
601,16,3,0.01,relu,0.005,1.3789645195007325,0.0984491814183901
602,16,3,0.1,leakyrelu,0.005,1.7729405641555787,0.2397846315638393
603,1,3,0.01,relu,0.005,7.206169319152832,0.184430898062797
604,16,3,0.01,relu,0.01,1.454487156867981,0.0932342701217403
605,16,3,0.1,leakyrelu,0.01,1.8127450466156005,0.20122253855955155
606,16,3,0.01,elu,0.0,1.2216373443603517,0.11943753052987478
607,1,3,0.01,relu,0.01,6.4106605052948,1.6881853225270982
608,16,2,0.0001,relu,0.01,1.5235225200653075,0.06407495549619589
609,16,1,0.0001,relu,0.005,1.4628757953643798,0.08678921429563727
610,16,3,0.01,elu,1e-05,1.2233401536941528,0.10611388896247509
611,16,1,0.001,leakyrelu,1e-05,1.251339840888977,0.08012287790597877
612,1,3,0.01,elu,0.0,3.0005343914031983,0.07159701510461587
613,16,3,0.01,elu,0.0001,1.2335309743881226,0.06955873466747912
614,4,3,0.0001,leakyrelu,0.0001,1.3841795682907105,0.08162503155533596
615,16,3,0.0001,relu,0.001,1.2496454477310182,0.09018024283248402
616,1,3,0.01,elu,1e-05,3.0091245651245115,0.07363026625711139
617,16,3,0.01,elu,0.001,1.2974648475646973,0.0908240081214258
618,1,3,0.01,elu,0.0001,3.831746244430542,1.583562375147878
619,16,3,0.01,elu,0.005,1.4227617979049683,0.11245090693356947
620,1,4,0.0001,relu,0.005,8.113692092895509,0.31465708355918637
621,16,3,0.01,elu,0.01,1.5309529304504395,0.0977031717426914
622,1,3,0.01,elu,0.001,3.0206621646881104,0.08833371260852121
623,16,3,0.01,leakyrelu,0.0,1.2150042295455932,0.0524581399498634
624,16,1,0.001,leakyrelu,0.0001,1.2358530044555665,0.06213678969731907
625,4,2,0.0001,elu,0.0,1.7506441831588746,0.5900439520213493
626,16,3,0.01,leakyrelu,1e-05,1.2330958127975464,0.08197727864540817
627,1,3,0.01,elu,0.005,3.0468430042266847,0.06852931109927414
628,1,4,0.0001,leakyrelu,1e-05,3.0401397228240965,0.07403563080224874
629,16,3,0.01,leakyrelu,0.0001,1.2784108161926269,0.046853224062261105
630,16,4,0.0001,relu,0.0,1.216617798805237,0.07729282502286285
631,16,3,0.01,leakyrelu,0.001,1.359330177307129,0.09689526619862424
632,16,1,0.001,leakyrelu,0.001,1.2947054386138916,0.05891192824046828
633,4,3,0.0001,elu,1e-05,1.3173738718032837,0.04175406108970943
634,1,3,0.01,elu,0.01,3.8774627685546874,1.6363581785531716
635,16,3,0.01,leakyrelu,0.005,1.412834072113037,0.044910212490000254
636,4,4,0.0001,elu,0.0001,1.3157336473464967,0.08100228874140743
637,1,2,0.0001,relu,0.01,8.113717174530029,0.31457548949499564
638,16,4,0.1,relu,0.0001,1.7681159734725953,0.1498969094386402
639,16,3,0.01,leakyrelu,0.01,1.560655903816223,0.14278735105601162
640,16,4,0.1,relu,0.001,1.5638296604156494,0.18775921863373574
641,16,4,0.001,elu,0.0,1.1594110012054444,0.07214682610033632
642,16,3,0.1,relu,0.0,1.4457719802856446,0.11309333628449689
643,16,4,0.1,relu,0.005,1.8641056060791015,0.33861777930782055
644,4,5,0.0001,elu,0.0,1.9504002332687378,0.7730836425413015
645,16,3,0.1,relu,1e-05,1.4898484468460083,0.0464378124331641
646,16,4,0.1,relu,0.01,1.8091933488845826,0.12868638511558936
647,16,4,0.1,elu,0.0,4.249213123321534,1.6133744682346038
648,16,3,0.0001,relu,0.005,1.404484009742737,0.06350277526276896
649,16,3,0.1,relu,0.0001,1.5203290462493897,0.10967602276435492
650,16,4,0.1,elu,1e-05,4.9170928478240965,1.7433490085390235
651,16,2,0.0001,elu,0.01,1.5212636947631837,0.08404551016229167
652,16,4,0.001,elu,1e-05,1.1534175395965576,0.08640036989280095
653,16,4,0.1,elu,0.0001,2.076933169364929,1.0342948951339666
654,16,3,0.1,relu,0.001,1.5183595418930054,0.1338092231100246
655,16,4,0.1,elu,0.001,1.764113712310791,0.14061690244237024
656,16,3,0.1,relu,0.005,1.7150534391403198,0.12361141907375242
657,16,4,0.1,elu,0.005,1.7699749231338502,0.16585603902459037
658,16,1,0.001,leakyrelu,0.005,1.4829341173171997,0.08441777304949455
659,16,4,0.001,elu,0.0001,1.1818350791931151,0.07036912984241062
660,16,3,0.1,relu,0.01,1.8906680583953857,0.20861037570285682
661,16,4,0.1,elu,0.01,1.8636662244796753,0.1897236187492116
662,16,3,0.1,elu,0.0,1.5310277700424195,0.3410793222435533
663,16,3,0.1,elu,1e-05,1.5123858213424684,0.18100340513585997
664,16,4,0.1,leakyrelu,0.0,1.5658632278442384,0.1006024194281592
665,16,3,0.1,elu,0.0001,1.4653539180755615,0.1201677858654971
666,16,2,0.0001,elu,0.0,1.1948498725891112,0.06587701061332407
667,16,4,0.1,leakyrelu,1e-05,1.6929184675216675,0.23065925632369455
668,16,4,0.0001,relu,1e-05,1.2289884328842162,0.0755337009811326
669,16,3,0.1,elu,0.001,1.7299513816833496,0.10062663520523171
670,16,4,0.1,leakyrelu,0.0001,12.058549332618714,19.496079227655645
671,16,4,0.001,elu,0.001,1.2430298566818236,0.07142673953488654
672,16,4,0.1,leakyrelu,0.001,1.6732369422912599,0.24687878296963978
673,4,1,0.0001,elu,0.0,1.5119127035140991,0.053838087125938835
674,16,4,0.1,leakyrelu,0.005,1.683676838874817,0.07408521412796898
675,16,4,0.1,leakyrelu,0.01,1.7624573230743408,0.11543309380470815
676,16,4,0.001,elu,0.005,1.3915302991867065,0.08312320583132218
677,16,1,0.001,leakyrelu,0.01,1.6014264822006226,0.0793805498963125
678,1,1,0.0001,elu,0.0,3.673840379714966,0.5619003915245885
679,16,1,0.01,relu,0.0,1.279067611694336,0.09773837029874276
680,1,5,0.0001,relu,0.01,7.171419334411621,2.016050015653781
681,16,1,0.01,relu,1e-05,1.2817830324172974,0.05321562439965868
682,16,4,0.001,elu,0.01,1.4884821414947509,0.07477883810744854
683,16,1,0.01,relu,0.0001,1.2633965969085694,0.06753763203997175
684,16,1,0.01,relu,0.001,1.3418890953063964,0.07833723825217317
685,4,2,0.0001,elu,1e-05,1.4164695501327516,0.13915155695459966
686,16,4,0.001,leakyrelu,0.0,1.2031304836273193,0.038196262600205144
687,1,3,0.0001,relu,0.01,8.113691043853759,0.31462614704948444
688,16,1,0.01,relu,0.005,1.4496219635009766,0.09691916079961045
689,16,1,0.0001,relu,0.01,1.576820731163025,0.08998012925539035
690,16,5,0.0001,relu,0.0,1.2354139804840087,0.10079752994169516
691,4,3,0.0001,leakyrelu,0.001,1.4370588541030884,0.07998852765344519
692,16,4,0.0001,relu,0.0001,1.2124236583709718,0.08668106536442888
693,16,1,0.01,relu,0.01,1.5471537828445434,0.0783138045265073
694,4,5,0.0001,elu,1e-05,1.5887509822845458,0.577292828123236
695,16,2,0.0001,leakyrelu,0.0,1.2890011548995972,0.0404103596814716
696,16,4,0.001,leakyrelu,1e-05,1.183746910095215,0.07853537688438755
697,16,1,0.01,elu,0.0,1.2957433462142944,0.0671865826088767
698,16,1,0.01,elu,1e-05,1.235735297203064,0.06762483450463772
699,16,4,0.001,leakyrelu,0.0001,1.2380433559417725,0.068432883153265
700,16,3,0.0001,relu,0.01,1.478273606300354,0.0789688352832271
701,16,1,0.01,elu,0.0001,1.2670129060745239,0.0951268995776747
702,4,4,0.0001,elu,0.001,1.3311630487442017,0.06034808369934662
703,16,5,0.0001,leakyrelu,0.005,1.4373671770095826,0.07426142070612402
704,16,1,0.01,elu,0.001,1.3437677383422852,0.07816344531803833
705,16,2,0.0001,elu,1e-05,1.193756341934204,0.07697722086733234
706,1,4,0.0001,relu,0.01,7.084034872055054,1.9733949998619904
707,16,5,0.01,leakyrelu,0.0,1.2380727767944335,0.06749763576184298
708,16,4,0.001,leakyrelu,0.001,1.2552218914031983,0.0710983599826807
709,16,1,0.01,elu,0.005,1.4542654752731323,0.10543714608016962
710,16,5,0.01,leakyrelu,1e-05,1.2376903295516968,0.09144506318388658
711,16,5,0.0001,relu,1e-05,1.2298520803451538,0.0944751288986737
712,16,1,0.01,elu,0.01,1.5673874378204347,0.09512613076604717
713,16,5,0.01,leakyrelu,0.0001,1.345866847038269,0.09871687487909049
714,16,4,0.0001,relu,0.001,1.2747880458831786,0.07439986350416503
715,16,5,0.01,leakyrelu,0.001,1.3404703855514526,0.11634237668513457
716,16,5,0.01,leakyrelu,0.005,1.4664893388748168,0.09795762955777251
717,16,4,0.001,leakyrelu,0.005,1.367609429359436,0.0706256524655722
718,1,4,0.0001,leakyrelu,0.0001,3.016751003265381,0.0855898458609638
719,1,2,0.0001,elu,0.0,3.946057891845703,1.5334500625003196
720,16,5,0.01,leakyrelu,0.01,1.6258955240249633,0.08537178620590646
721,16,5,0.1,relu,0.0,2.64889771938324,2.2622542896468825
722,16,5,0.1,relu,1e-05,1.6670492172241211,0.35660987496561813
723,16,5,0.1,relu,0.0001,1.7180989980697632,0.25568355557853956
724,16,5,0.1,relu,0.001,1.5924717426300048,0.24700527294448077
725,16,5,0.1,relu,0.005,1.7934957265853881,0.11836815401803913
726,4,5,0.0001,elu,0.0001,1.8970367670059205,0.7731323756886113
727,16,4,0.001,leakyrelu,0.01,1.4793385505676269,0.0670581390107027
728,16,5,0.1,relu,0.01,1.9166584253311156,0.14539516558206927
729,16,5,0.0001,relu,0.0001,1.2434171438217163,0.08241508637195623
730,16,5,0.1,elu,0.0,7.23624210357666,0.18226557034030463
731,16,4,0.01,relu,0.0,1.276392388343811,0.08673112623144365
732,16,3,0.0001,elu,0.0,1.171648120880127,0.08200064894210445
733,16,5,0.1,elu,1e-05,6.118172574043274,2.346981623769346
734,16,4,0.01,relu,1e-05,1.2600370645523071,0.07228550865675817
735,16,5,0.1,elu,0.0001,6.910848617553711,1.9808254918661303
736,16,5,0.1,elu,0.001,5.693149399757385,5.049583094495782
737,16,4,0.01,relu,0.0001,1.2738076210021974,0.0731935864386946
738,4,1,0.0001,elu,1e-05,1.4944648504257203,0.07373668190014934
739,16,5,0.1,elu,0.005,1.7975404262542725,0.10906397656986191
740,16,4,0.01,relu,0.001,1.3189733266830443,0.1099794273126485
741,16,5,0.1,elu,0.01,2.8843254327774046,1.473486724934682
742,16,2,0.0001,leakyrelu,1e-05,1.2729190349578858,0.08908310696008138
743,16,5,0.1,leakyrelu,0.0,2.372881817817688,1.2047588569811831
744,16,4,0.01,relu,0.005,1.3918166875839233,0.11708068048060263
745,16,5,0.1,leakyrelu,1e-05,2.036385726928711,0.7448304757378025
746,4,3,0.0001,leakyrelu,0.005,1.5122771263122559,0.11286415882946822
747,16,4,0.01,relu,0.01,1.5057893753051759,0.09705740550826145
748,16,5,0.1,leakyrelu,0.0001,1.6927852869033813,0.27203442380673354
749,16,5,0.1,leakyrelu,0.001,2.1028006315231322,0.8251083388190884
750,16,4,0.01,elu,0.0,1.1986268520355225,0.07031651814997929
751,1,5,0.0001,elu,0.0,6.296312618255615,1.617030030739611
752,16,4,0.01,elu,1e-05,1.2267603635787965,0.06995643809109266
753,16,5,0.1,leakyrelu,0.005,4.078937959671021,4.284383334075532
754,16,5,0.0001,leakyrelu,0.01,1.546722412109375,0.05882102589398549
755,16,5,0.1,leakyrelu,0.01,2.195038843154907,0.30723697916148457
756,16,4,0.01,elu,0.0001,1.227392578125,0.0805437696915492
757,16,4,0.01,elu,0.001,1.2945352792739868,0.08076998131375661
758,1,1,0.0001,elu,1e-05,3.898678922653198,0.4493114440525306
759,4,2,0.0001,elu,0.0001,1.3586286783218384,0.11342744115226376
760,16,1,0.0001,elu,0.0,1.2786048173904419,0.08492598077439187
