,units,layers,learning_rate,activation_function,lambda_reg,reg_type,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
1253,2,4,0.01,relu,0.0001,lasso,4.643768644332885,2.0720494019313778,4.7696703433990475,2.1642224439304685
1254,2,3,0.0001,relu,1e-05,ridge,6.101898813247681,2.554142583847959,6.016047477722168,2.519132832874211
1255,16,3,0.1,relu,0.1,lasso,4.74418830871582,0.08373041368899645,4.814828586578369,0.14656804477108412
1256,16,3,0.1,leakyrelu,0.01,ridge,1.718322992324829,0.06208286670950007,1.699083113670349,0.07574708886769611
1257,16,2,0.001,elu,0.0,ridge,1.0599856615066527,0.03627938531401403,1.1982175350189208,0.05310904142333474
1258,16,3,0.01,elu,0.1,lasso,3.743505573272705,0.21901188362026094,3.7614583492279055,0.2963754970524373
1259,8,3,0.0001,relu,0.001,ridge,1.235529899597168,0.017797580121163937,1.3202566385269165,0.08405241134511235
1260,16,2,0.001,leakyrelu,0.1,lasso,3.013855981826782,0.03435596256247753,3.039091920852661,0.10217765548964478
1261,8,2,0.0001,leakyrelu,0.01,lasso,1.6609146118164062,0.04851462995446165,1.721215510368347,0.1014115313177101
1262,8,5,0.01,relu,0.01,lasso,1.6490512371063233,0.06463491759740406,1.68850998878479,0.036604791823997666
1263,16,3,0.0001,leakyrelu,0.0001,lasso,1.1407904624938965,0.024818429786594497,1.2632097959518434,0.08227563251655927
1264,2,2,0.001,leakyrelu,0.001,ridge,1.7504567861557008,0.1570331358890885,1.7902240037918091,0.11655825436224841
1265,16,3,0.1,relu,0.1,ridge,3.066538858413696,0.023908609044089837,3.1419317722320557,0.19373904433976286
1266,16,3,0.1,leakyrelu,0.1,lasso,4.6369099617004395,0.08220417490051873,4.702857112884521,0.10533148285271145
1267,2,4,0.01,relu,0.0001,ridge,4.6657395362854,2.144573642385986,4.570747327804566,1.9429049283699917
1268,16,3,0.01,elu,0.1,ridge,2.9066980838775636,0.02813679867206531,2.916743612289429,0.15664215507685697
1269,2,3,0.001,elu,0.01,ridge,1.8487826824188232,0.5625208435699852,1.8881288528442384,0.5890380194880098
1270,2,1,0.0001,leakyrelu,0.001,ridge,1.8632274389266967,0.0915612535980434,1.888548445701599,0.12847351889050615
1271,16,3,0.1,elu,0.0,lasso,1.4287004470825195,0.1395731917935391,1.4071051120758056,0.08163026730136731
1272,8,5,0.0001,leakyrelu,0.01,lasso,1.758164930343628,0.07986852387859265,1.8300172328948974,0.09136102053301558
1273,16,3,0.1,leakyrelu,0.1,ridge,3.1757288455963133,0.08262825299097978,3.1775121688842773,0.11863463248733863
1274,8,2,0.0001,relu,0.001,ridge,1.2307634830474854,0.051688347963830095,1.3049649953842164,0.08933339186939873
1275,16,3,0.1,elu,0.0,ridge,2.0429094552993776,0.943885729580784,1.8159865856170654,0.5008272913767785
1276,16,3,0.01,leakyrelu,0.0,lasso,1.1186314821243286,0.05416573541861423,1.2646681308746337,0.06784158796349789
1277,2,4,0.01,relu,0.001,lasso,4.345460748672485,2.381280529977044,4.3968184232711796,2.488998021681146
1278,8,4,0.001,leakyrelu,1e-05,lasso,1.1333087682724,0.01708171979530789,1.2402951002120972,0.09021896354440977
1279,2,3,0.0001,elu,0.0,ridge,3.4065195083618165,2.3388322663934287,3.5177940368652343,2.3165357846574732
1280,16,3,0.1,elu,1e-05,lasso,1.4430341005325318,0.10689858889371273,1.443927788734436,0.07607994336101943
1281,16,2,0.001,elu,1e-05,lasso,1.0835031747817994,0.04477657910981469,1.1907891750335693,0.031383475249248095
1282,2,4,0.01,relu,0.001,ridge,2.6855542421340943,0.5354278580746505,2.7498339414596558,0.4565719927296868
1283,16,3,0.1,elu,1e-05,ridge,1.3985414981842041,0.06480389621598404,1.5009926795959472,0.16211325148830574
1284,16,2,0.0001,relu,0.1,ridge,2.707482862472534,0.01981203484285056,2.7301501274108886,0.10786961037045154
1285,16,3,0.01,leakyrelu,0.0,ridge,1.0611029386520385,0.047599673093249716,1.2621637105941772,0.07572178097427022
1286,2,5,0.001,leakyrelu,0.0001,ridge,1.5639687299728393,0.1354361469852579,1.5814199447631836,0.12809991306108767
1287,16,3,0.1,elu,0.0001,lasso,2.6334095001220703,1.1351172309143347,2.9817301750183107,1.3590633031584378
1288,2,5,0.0001,relu,1e-05,ridge,6.953358507156372,2.0443539469208942,6.848874425888061,1.9641236493694412
1289,2,4,0.0001,leakyrelu,0.001,ridge,1.9625462293624878,0.4708008417203147,1.9897807121276856,0.5340955042596643
1290,2,4,0.01,relu,0.01,lasso,5.586886358261109,1.9823475847077066,5.69842300415039,2.1406312691271756
1291,2,2,0.0001,elu,0.1,lasso,6.481936597824097,2.262179017946114,6.457929611206055,2.278978077189686
1292,16,1,0.001,elu,0.01,ridge,1.5140145301818848,0.02635075033467305,1.5580586910247802,0.09446866600816295
1293,16,3,0.1,elu,0.0001,ridge,1.649561071395874,0.26835154202473843,1.6844654083251953,0.2413263648267273
1294,16,3,0.01,leakyrelu,1e-05,lasso,1.0969738960266113,0.06007170337312319,1.2289105892181396,0.04481469327753814
1295,8,4,0.0001,elu,1e-05,lasso,1.149076509475708,0.09371108165061982,1.2270864009857179,0.08327280053848346
1296,2,2,0.001,leakyrelu,0.01,lasso,1.8679238319396974,0.07545072339673992,1.903571367263794,0.22775407497569772
1297,16,4,0.01,relu,0.0,lasso,1.071714997291565,0.04626962072385362,1.3010409355163575,0.07363417593853093
1298,16,3,0.1,elu,0.001,lasso,1.525750470161438,0.055979071014521625,1.5729539155960084,0.06708667387098781
1299,8,5,0.0001,relu,0.001,ridge,1.1972337007522582,0.04122226586914656,1.28755521774292,0.0848511480993077
1300,16,3,0.001,elu,0.1,lasso,3.551664876937866,0.2826809397210013,3.5566287994384767,0.252259333465598
1301,16,4,0.001,relu,0.01,ridge,1.368283486366272,0.020900196659188443,1.4763311862945556,0.07965953586153879
1302,16,2,0.001,leakyrelu,0.1,ridge,2.754990577697754,0.027963908063658623,2.7691070556640627,0.10118223369059831
1303,16,3,0.1,elu,0.001,ridge,1.529426383972168,0.10480648044264383,1.5632233619689941,0.0923852731008289
1304,16,4,0.01,relu,0.0,ridge,1.069014883041382,0.03437503055876035,1.2310872316360473,0.050023765897207646
1305,8,1,0.0001,relu,0.0001,lasso,1.282037329673767,0.05478010495241689,1.3411975145339965,0.05924110561616942
