,units,layers,learning_rate,activation_function,lambda_reg,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
2276,128,2,0.0001,relu,0.01,1.3918438673019409,0.014280951242892668,1.514959168434143,0.07805696865244471
2277,2,1,0.0001,leakyrelu,0.01,2.1062836170196535,0.0571100216577288,2.159444522857666,0.13230977473654873
2278,2,4,0.0001,elu,0.001,3.780248689651489,1.7797327932788696,3.8439253330230714,1.8235497347097593
2279,32,4,0.0001,leakyrelu,0.0,1.0213016033172608,0.03134678984762129,1.2275726079940796,0.05850742883895407
2280,4,2,0.0001,elu,0.5,5.902706623077393,0.031024256137124062,5.916954708099365,0.10768171258906906
2281,4,3,0.0001,relu,1e-05,1.2923402547836305,0.10126024123912451,1.365425992012024,0.1292332048495335
2282,4,4,0.0001,relu,0.01,2.2144630432128904,0.6962715795028457,2.2369890451431274,0.716112493047616
2283,32,3,0.0001,leakyrelu,0.001,1.1523793935775757,0.04025471669371278,1.3035242080688476,0.046894429338574434
2284,64,1,0.0001,elu,0.5,5.573207950592041,0.03052743084287278,5.5912576675415036,0.13836646804955374
2285,32,5,0.0001,relu,0.1,3.1226603031158446,0.06956671584542404,3.1502071380615235,0.11671956996045058
2286,4,5,0.0001,leakyrelu,0.1,4.153374242782593,0.21285784932875634,4.160154104232788,0.23575465296685869
2287,32,3,0.0001,relu,0.1,2.818870258331299,0.020980751533450803,2.8455620765686036,0.10328324966352101
2288,128,5,0.0001,leakyrelu,0.1,3.2337305545806885,0.034876306169967106,3.263020324707031,0.09349112618387463
2289,128,3,0.0001,leakyrelu,0.001,1.1063333749771118,0.05018189372136245,1.3983569145202637,0.06307982956507575
2290,16,5,0.0001,leakyrelu,0.1,3.2084767818450928,0.032032980086698463,3.2296119689941407,0.10487410740105835
2291,64,3,0.0001,leakyrelu,0.0,1.0103327274322509,0.025989218996121475,1.206448221206665,0.05905747599353512
2292,16,2,0.0001,elu,0.01,1.4919782638549806,0.0304561359168849,1.5445892333984375,0.0774956140173856
2293,128,2,0.0001,leakyrelu,0.001,1.162576675415039,0.03216755982557933,1.334427261352539,0.07225939297928
2294,16,4,0.0001,relu,0.1,2.974725103378296,0.023545382201412272,3.0046555042266845,0.09806836712144514
2295,128,1,0.0001,relu,1e-05,1.063356876373291,0.03165382158071322,1.2096914052963257,0.05088117492631609
2296,4,5,0.0001,elu,1e-05,1.5789934635162353,0.6342561030948317,1.6128705501556397,0.5954212184196724
2297,128,3,0.0001,elu,0.5,6.399271011352539,0.04105087882674426,6.4038773536682125,0.10794526373745314
2298,128,5,0.0001,elu,0.5,7.3542732238769535,0.047320500614685894,7.359143161773682,0.09876079935930926
2299,128,5,0.0001,relu,0.1,3.1589230060577393,0.02067647813546636,3.1851991176605225,0.10028322483622912
2300,64,4,0.0001,relu,0.1,2.9841803073883058,0.030782995653276864,3.011437273025513,0.09787579219091215
2301,16,3,0.0001,leakyrelu,0.0,1.1477316856384276,0.0456264847327485,1.2633472681045532,0.07254423391823801
2302,16,3,0.0001,leakyrelu,0.5,6.381182098388672,0.03293872252580898,6.39387788772583,0.12664783023180887
2303,2,5,0.0001,leakyrelu,0.1,4.2465790748596195,0.41041824586320513,4.265123128890991,0.4421001378247438
2304,2,1,0.0001,leakyrelu,0.0001,1.906111192703247,0.03743082179147286,1.9275923252105713,0.12994736691460856
2305,128,5,0.0001,elu,0.01,1.5288580417633058,0.016046490676052644,1.6041216850280762,0.07339263868108949
2306,32,4,0.0001,elu,0.01,1.4754464864730834,0.015811833551637552,1.5518365859985352,0.07603663519582081
2307,128,2,0.0001,elu,0.5,5.96353063583374,0.03228649044775018,5.977412605285645,0.13629981993802018
2308,16,3,0.0001,elu,0.01,1.4697570085525513,0.02494831681385883,1.5418793916702271,0.07953301962823178
2309,128,3,0.0001,relu,0.1,2.8205617904663085,0.019679085427049735,2.852814865112305,0.10245564277837566
2310,16,4,0.0001,leakyrelu,0.5,6.8302490234375,0.03860191056238866,6.8367311477661135,0.11955001933781395
2311,2,4,0.0001,leakyrelu,0.0001,1.637066388130188,0.06643118728419613,1.6858430862426759,0.09797719582241196
2312,4,3,0.0001,elu,0.001,1.3361454010009766,0.0853727978311527,1.3844933748245238,0.11262203611798612
2313,16,3,0.0001,relu,0.1,2.8240545749664308,0.020128331561968936,2.8525060176849366,0.10407387034516526
