,units,weights,learning_rate,lambda_reg,activation_function,mean_val_loss,std_val_loss,mean_val_accuracy,std_val_accuracy
0,2,0.3,0.001,1e-05,binary_crossentropy,0.3460722664992015,0.10888155793624908,0.355594277381897,0.09616174681001337
1,2,0.3,0.001,0.001,binary_crossentropy,0.31454215943813324,0.1001316847407515,0.5174216032028198,0.11377075407560015
2,2,0.1,0.01,0.01,binary_crossentropy,0.30362675587336224,0.050081227567061806,0.557491292556127,0.09170230236952519
3,4,0.1,0.01,0.01,binary_crossentropy,0.30234753092130023,0.062251896673496926,0.5090979437033335,0.09115804331441825
4,2,0.7,0.0001,0.01,binary_crossentropy,0.3495226204395294,0.07032135798562698,0.5013550221920013,0.14304220051961714
5,2,0.5,0.1,1e-05,binary_crossentropy,0.34331125517686206,0.13224617094305274,0.46960898737112683,0.18205696010532668
6,2,0.1,0.01,0.001,binary_crossentropy,0.29107606410980225,0.03492381883209239,0.5894309083620707,0.06629881770987056
7,4,0.1,0.1,0.0001,binary_crossentropy,0.33095774551232654,0.12055087706115,0.5100658138593038,0.17993973577220507
8,2,0.3,0.0001,0.01,binary_crossentropy,0.2820078333218892,0.017480174273976905,0.35501354932785034,0.04267754533951062
9,2,0.1,0.01,0.0,binary_crossentropy,0.3598255415757497,0.12136105806689683,0.3803716649611791,0.16753951456009555
10,4,0.1,0.001,0.001,binary_crossentropy,0.3107246408859889,0.09879943024928634,0.5255516966183981,0.11908302638393334
11,2,0.3,0.1,0.001,binary_crossentropy,0.25310859084129333,0.0076237040060624294,0.604529599348704,0.027101659900061182
12,4,0.1,0.1,0.001,binary_crossentropy,0.24810906747976938,0.008988082908561184,0.6370499531428019,0.02033349997505065
13,2,0.1,0.01,1e-05,binary_crossentropy,0.3628356258074443,0.12969233642262884,0.3803716649611791,0.16753951456009555
14,4,0.1,0.01,0.001,binary_crossentropy,0.3062613606452942,0.05484184335835439,0.5493612190087637,0.08541127690585243
15,2,0.3,0.001,0.01,binary_crossentropy,0.301228145758311,0.07887030740541931,0.5255516966183981,0.1255672144738943
16,2,0.3,0.01,0.0,binary_crossentropy,0.36044106384118396,0.126566247661254,0.34785133103529614,0.12355288559844435
17,2,0.7,0.0001,0.001,binary_crossentropy,0.31034239133199054,0.06997377560026748,0.5013550221920013,0.14304220051961714
18,2,0.5,0.01,0.001,binary_crossentropy,0.3244250913461049,0.08667876937768505,0.517808755238851,0.1502785218953214
19,4,0.3,0.0001,0.0,binary_crossentropy,0.27053247888882953,0.018993758206258957,0.42818429072697956,0.06780485604372018
20,4,0.3,0.0001,0.0001,binary_crossentropy,0.2703407903512319,0.01926923204713699,0.4444444477558136,0.07919587056243119
21,4,0.3,0.0001,0.001,binary_crossentropy,0.2709825932979584,0.018903880721760608,0.4444444477558136,0.07919587056243119
22,4,0.3,0.0001,0.01,binary_crossentropy,0.2791232367356618,0.018195294799492546,0.38753388325373334,0.05527392220747431
23,4,0.3,0.0001,1e-05,binary_crossentropy,0.2703206439812978,0.019079252284274872,0.4444444477558136,0.07919587056243119
24,2,0.5,0.0001,1e-05,binary_crossentropy,0.2649078369140625,0.025966068944391588,0.5013550221920013,0.14304220051961714
25,4,0.3,0.001,1e-05,binary_crossentropy,0.330011452237765,0.12978992748020068,0.5098722477753957,0.16613872684075204
26,2,0.1,0.0001,0.01,binary_crossentropy,0.27080483734607697,0.02571428666970785,0.49864498774210614,0.1430422121885193
27,2,0.7,0.0001,0.0001,binary_crossentropy,0.3067396283149719,0.07030208345010937,0.5013550221920013,0.14304220051961714
28,2,0.1,0.0001,0.001,binary_crossentropy,0.266548549135526,0.02509718442315811,0.49864498774210614,0.1430422121885193
29,2,0.5,0.0001,0.0,binary_crossentropy,0.26507146656513214,0.026385218157349438,0.5013550221920013,0.14304220051961714
30,2,0.3,0.0001,0.001,binary_crossentropy,0.27640220522880554,0.017527477010803552,0.3794037997722626,0.07693805108830504
31,4,0.3,0.001,0.0001,binary_crossentropy,0.32918419937292737,0.12839320816272404,0.5098722477753957,0.16613872684075204
32,2,0.5,0.01,0.01,binary_crossentropy,0.2969575524330139,0.053033487579105504,0.5412311255931854,0.08507895706399439
33,2,0.1,0.0001,0.0001,binary_crossentropy,0.26611924171447754,0.02524312987751257,0.49864498774210614,0.1430422121885193
34,2,0.5,0.0001,0.01,binary_crossentropy,0.2830832898616791,0.025681787482768757,0.5013550221920013,0.14304220051961714
35,4,0.1,0.0001,0.001,binary_crossentropy,0.27419989307721454,0.015538816634233317,0.3712737162907918,0.06549076575556552
36,4,0.1,0.1,1e-05,binary_crossentropy,0.26775134603182477,0.018696642075497007,0.49322494864463806,0.1328189856874159
37,2,0.3,0.0001,0.0001,binary_crossentropy,0.2750983436902364,0.017466134425040383,0.3794037997722626,0.07693805108830504
38,2,0.5,0.0001,0.001,binary_crossentropy,0.267034853498141,0.02610823191337481,0.5013550221920013,0.14304220051961714
39,2,0.3,0.0001,0.0,binary_crossentropy,0.274779349565506,0.01741051064121566,0.3794037997722626,0.07693805108830504
40,2,0.7,0.001,0.0,binary_crossentropy,0.2755024929841359,0.017901724377022896,0.3794037997722626,0.07693805108830504
41,4,0.1,0.0001,0.0001,binary_crossentropy,0.2739589909712474,0.015747680870605726,0.3712737162907918,0.06549076575556552
42,4,0.1,0.1,0.01,binary_crossentropy,0.302276353041331,0.05671591606227156,0.4938056468963623,0.1651835236438474
43,2,0.1,0.001,1e-05,binary_crossentropy,0.3302119970321655,0.08022862039766412,0.4198606212933858,0.11816761045727729
