,units,weights,learning_rate,lambda_reg,activation_function,mean_val_loss,std_val_loss,mean_val_accuracy,std_val_accuracy
0,2,0.1,0.01,0.0,binary_crossentropy,0.2610192100207011,0.011230301813203608,0.4018292725086212,0.025788188039489054
1,2,0.1,0.1,1e-05,binary_crossentropy,0.26886186003685,0.024121895097193116,0.4587398370107015,0.09273682996833638
2,2,0.1,0.001,0.0001,binary_crossentropy,0.26391714811325073,0.013046224303612805,0.4018292725086212,0.025788188039489054
3,2,0.7,0.0001,0.01,binary_crossentropy,0.3525483508904775,0.048720436862021994,0.491260161002477,0.10112436695892824
4,4,0.1,0.0001,0.01,binary_crossentropy,0.27856852610905963,0.015607924689044666,0.3691056966781616,0.024007843700316306
5,2,0.5,0.001,1e-05,binary_crossentropy,0.326158086458842,0.09975108500434252,0.4424796799818675,0.03232794260190437
6,2,0.7,0.0001,0.001,binary_crossentropy,0.31360773245493573,0.04863197150746772,0.491260161002477,0.10112436695892824
7,2,0.5,0.0001,0.0,binary_crossentropy,0.2598207990328471,0.013557920618687665,0.491260161002477,0.10112436695892824
8,2,0.7,0.001,1e-05,binary_crossentropy,0.32070831457773846,0.09202157962055985,0.4424796799818675,0.03232794260190437
9,2,0.3,0.001,0.0,binary_crossentropy,0.261926790078481,0.010030395626770291,0.4018292725086212,0.025788188039489054
10,2,0.3,0.0001,0.0001,binary_crossentropy,0.2630825340747833,0.010302914455916252,0.4018292725086212,0.025788188039489054
11,2,0.5,0.01,0.0,binary_crossentropy,0.26546431581179303,0.009038958217242274,0.4018292725086212,0.025788188039489054
12,2,0.3,0.0001,0.0,binary_crossentropy,0.26260154445966083,0.010145071538772761,0.4018292725086212,0.025788188039489054
13,2,0.1,0.0001,0.0001,binary_crossentropy,0.26285219689210254,0.02198869605605805,0.5087398290634155,0.10112435943145394
14,2,0.5,0.0001,0.01,binary_crossentropy,0.27835800250371295,0.013256506300414079,0.491260161002477,0.10112436695892824
15,2,0.5,0.0001,0.0001,binary_crossentropy,0.26023076474666595,0.013388011808129156,0.491260161002477,0.10112436695892824
16,2,0.3,0.0001,1e-05,binary_crossentropy,0.26235369841257733,0.009948684376785916,0.4018292725086212,0.025788188039489054
17,2,0.3,0.001,0.0001,binary_crossentropy,0.320597767829895,0.0943161687886221,0.42621951301892597,0.00999454739283041
18,2,0.1,0.1,0.0,binary_crossentropy,0.2551986078421275,0.003046319682377956,0.4018292725086212,0.025788188039489054
19,4,0.1,0.0001,0.001,binary_crossentropy,0.2711598475774129,0.013167100290404517,0.39369918902715045,0.024269690989836435
20,4,0.1,0.0001,1e-05,binary_crossentropy,0.2699994742870331,0.01284802004361134,0.39369918902715045,0.024269690989836435
21,2,0.1,0.001,0.001,binary_crossentropy,0.2892070710659027,0.045151648604081634,0.4018292725086212,0.025788188039489054
22,2,0.1,0.0001,0.001,binary_crossentropy,0.26375408967336017,0.022663042152190786,0.5087398290634155,0.10112435943145394
