best_model: {'scl': StandardScaler(), 'lbe': PolynomialFeatures(), 'reg': MultiOutputRegressor(estimator=Ridge(alpha=0.001))}
train_score: 1.31 (0.02)
test_score: 1.43 (0.09)
fit_time: 0.01 (0.01)
mean_train_score,std_train_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,lbe__degree,reg__estimator__alpha
-1.8919212861825918,0.027603614613504114,-1.9152373957074467,0.10737850994605955,0.0031247615814208986,0.006249523162841797,1,1e-05
-1.891921287911627,0.027603615079388667,-1.9152373872584554,0.10737850379162148,0.003124094009399414,0.006248188018798828,1,0.00012
-1.8919212896407462,0.027603615545273786,-1.9152373788095651,0.10737849763719437,0.009372282028198241,0.007652436235971127,1,0.00023
-1.8919212913699492,0.02760361601115977,-1.9152373703607743,0.10737849148277814,0.006249237060546875,0.007653721040015035,1,0.00034
-1.8919212930992362,0.02760361647704632,-1.9152373619120837,0.10737848532837291,0.0,0.0,1,0.00045000000000000004
-1.891921294828607,0.027603616942933316,-1.9152373534634939,0.10737847917397854,0.0,0.0,1,0.0005600000000000001
-1.891921296558061,0.027603617408821352,-1.9152373450150044,0.10737847301959504,0.006248378753662109,0.007652669833059837,1,0.00067
-1.891921298287599,0.027603617874709843,-1.915237336566615,0.10737846686522269,0.0,0.0,1,0.0007800000000000001
-1.8919213000172213,0.027603618340599094,-1.9152373281183261,0.10737846071086117,0.0031243324279785155,0.006248664855957031,1,0.0008900000000000001
-1.8919213017469272,0.02760361880648916,-1.9152373196701376,0.1073784545565104,0.0,0.0,1,0.001
-1.3086520350795885,0.024172117856289425,-1.4260325983281106,0.08992424716648502,0.006248569488525391,0.0076529034346054375,2,1e-05
-1.3086519672789154,0.02417211442728139,-1.4260322351568033,0.08992420538407238,0.003124380111694336,0.006248760223388672,2,0.00012
-1.3086518994802883,0.024172110998329752,-1.4260318719903986,0.08992416360265354,0.0,0.0,2,0.00023
-1.3086518316837061,0.024172107569434727,-1.4260315088288937,0.08992412182222922,0.006248569488525391,0.0076529034346054375,2,0.00034
-1.30865176388917,0.024172104140596246,-1.4260311456722912,0.08992408004279859,0.0031241893768310545,0.006248378753662109,2,0.00045000000000000004
-1.3086516960966788,0.024172100711814325,-1.4260307825205885,0.08992403826436113,0.0,0.0,2,0.0005600000000000001
-1.3086516283062328,0.024172097283089004,-1.4260304193737874,0.08992399648691705,0.0031241893768310545,0.006248378753662109,2,0.00067
-1.3086515605178322,0.024172093854420092,-1.4260300562318855,0.08992395471046756,0.006248617172241211,0.007652961844276382,2,0.0007800000000000001
-1.3086514927314767,0.024172090425807934,-1.426029693094885,0.08992391293501191,0.006248855590820312,0.007653253836923836,2,0.0008900000000000001
-1.3086514249471668,0.024172086997252113,-1.4260293299627855,0.0899238711605488,0.009373283386230469,0.007653253836923836,2,0.001
