best_model: {'scl': StandardScaler(), 'lbe': PolynomialFeatures(degree=4), 'reg': MultiOutputRegressor(estimator=Lasso(alpha=0.01))}
train_score: 0.97 (0.01)
test_score: 1.19 (0.05)
fit_time: 2.23 (0.22)
mean_train_score,std_train_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,reg__estimator__alpha,reg,lbe,lbe__degree,lbe__n_knots
-1.8919213017469272,0.02760361880648916,-1.9152373196701376,0.1073784545565104,0.002591848373413086,0.0004905682746548883,0.001,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.89192131747537,0.027603623041883737,-1.9152372428730238,0.10737839860836787,0.0023892402648925783,0.0010121443218822524,0.002,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919213332107396,0.02760362727733482,-1.9152371660842,0.10737834266112739,0.006261062622070312,0.00766820433584219,0.003,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919213489530358,0.02760363151284294,-1.9152370893036668,0.10737828671478866,0.0,0.0,0.004,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919213647022572,0.027603635748407237,-1.915237012531423,0.10737823076935155,0.006248044967651367,0.007652261093124316,0.005,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.891921380458405,0.027603639984028365,-1.9152369357674695,0.10737817482481636,0.0031243324279785155,0.006248664855957032,0.006,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919213962214783,0.02760364421970596,-1.9152368590118054,0.10737811888118275,0.0031243324279785155,0.006248664855957031,0.007,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919214119914778,0.027603648455440173,-1.9152367822644305,0.10737806293845055,0.009372997283935546,0.007653020235378236,0.008,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919214277684027,0.02760365269123079,-1.9152367055253445,0.10737800699661992,0.0,0.0,0.009000000000000001,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919214435522527,0.027603656927078193,-1.915236628794548,0.1073779510556912,0.006248569488525391,0.0076529034346054375,0.01,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),1,--
-1.8919290616413675,0.027639178895899598,-1.9152473123017573,0.10728892125760733,0.0,0.0,0.001,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8919614539063896,0.027676812659681638,-1.9152869186072206,0.10717935246847636,0.0031241416931152345,0.006248283386230469,0.002,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8920162845232127,0.027713776682347393,-1.91533932683418,0.10706883120113965,0.0031242847442626955,0.006248569488525391,0.003,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8920922665068296,0.027751356670763484,-1.9154174433522642,0.10696128234060172,0.0062485218048095705,0.0076528450345904235,0.004,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8921830236159263,0.027794608768951796,-1.915486853296639,0.10683486627356799,0.003124237060546875,0.00624847412109375,0.005,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8922970493613853,0.02783793599444589,-1.9155798978650833,0.10670765425326946,0.0062485218048095705,0.007652845034590424,0.006,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.892434522657132,0.027881133012020137,-1.9156963199608334,0.10657971068546546,0.003124237060546875,0.00624847412109375,0.007,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8925963129652181,0.027923044019365927,-1.9158365585026218,0.10645296395062516,0.006248569488525391,0.007652903434605437,0.008,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.8927827536328337,0.027962917052762697,-1.9159993345354684,0.10632459431883987,0.006248664855957031,0.007653020236863752,0.009000000000000001,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.892991939937384,0.028001322823741553,-1.9161848843831195,0.10619563432475562,0.006248664855957031,0.007653020236863752,0.01,MultiOutputRegressor(estimator=Lasso(alpha=0.01)),PolynomialFeatures(degree=4),1,--
-1.3086514249471668,0.024172086997252113,-1.4260293299627855,0.0899238711605488,0.009373235702514648,0.007653214905313541,0.001,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),2,--
-1.30865080881996,0.024172055831156343,-1.4260260289866333,0.08992349143827781,0.006248950958251953,0.0076533706376966356,0.002,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),2,--
-1.3086501928617265,0.024172024669730813,-1.4260227284153866,0.08992311179809562,0.0031244754791259766,0.006248950958251953,0.003,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),2,--
-1.3086495770724245,0.024171993512973562,-1.426019428248966,0.08992273223997682,0.0031239986419677734,0.006247997283935547,0.004,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),2,--
-1.308648961452012,0.02417196236088274,-1.4260161284872896,0.08992235276389604,0.006248188018798828,0.007652436237456755,0.005,MultiOutputRegressor(estimator=Ridge()),PolynomialFeatures(degree=4),2,--
